table,column,meaning,source_join,notes
dim_person,c_personid,人物主键,BIOG_MAIN,可溯源唯一ID
dim_person,c_name_chn,中文姓名,BIOG_MAIN,自动拼接字段
dim_person,c_dy,朝代编码,BIOG_MAIN,缺失时保留NULL
dim_person,dynasty_chn,朝代中文名,DYNASTIES,通过c_dy关联
dim_person,c_index_addr_id,索引地ID,BIOG_MAIN,0视为未知地
dim_person,index_addr_chn,索引地中文名,ADDR_CODES,缺失用空串
dim_person,index_addr_x/y,索引地坐标,ADDR_CODES,部分缺失
fact_person_status,c_status_code,身份编码,STATUS_DATA,原始编码
fact_person_status,c_status_desc_chn,身份中文名,STATUS_CODES,便于解读
fact_person_address,c_addr_type,地址类型编码,BIOG_ADDR_DATA,原始编码
fact_person_address,addr_chn,地址中文名,ADDR_CODES,便于解读
fact_person_posting,c_appt_code,任官方式编码,POSTED_TO_OFFICE_DATA,原始编码
fact_person_posting,c_appt_desc_chn,任官方式中文,APPOINTMENT_CODES,便于解读
fact_person_kin,c_kin_code,亲属编码,KIN_DATA,原始编码
fact_person_kin,c_kinrel_chn,亲属关系中文,KINSHIP_CODES,便于解读
fact_person_assoc,c_assoc_code,社会关系编码,ASSOC_DATA,原始编码
fact_person_assoc,c_assoc_desc_chn,社会关系中文,ASSOC_CODES,便于解读
