c_personid,c_assoc_id,c_assoc_code,c_assoc_desc,c_assoc_desc_chn,c_assoc_first_year,c_assoc_last_year,c_addr_id,c_source,c_pages,c_notes
696877,591,0,[Undefined],未詳,-9999,,0,64847,北宋卷 156 蘇通墓誌,
3624,10585,0,[Undefined],未詳,1196,,0,0,,
10589,10585,0,[Undefined],未詳,1196,,0,0,,
30284,30628,0,[Undefined],未詳,-9999,,0,39136,lgid=152149,
30849,30628,0,[Undefined],未詳,-9999,,0,39136,lgid=152149,
68509,30847,0,[Undefined],未詳,-9999,,0,38685,lgid=356638,
55817,34189,0,[Undefined],未詳,-9999,,0,57941,lgid=1160867,
56862,34189,0,[Undefined],未詳,-9999,,0,57941,lgid=1160867,
65933,34189,0,[Undefined],未詳,-9999,,0,65192,lgid=1163595,
34702,34219,0,[Undefined],未詳,-9999,,0,39136,lgid=152102,
68272,34219,0,[Undefined],未詳,-9999,,0,39136,lgid=152102,
348022,34807,0,[Undefined],未詳,-9999,,0,70688,卷之三,孫奇逢祠堂碑記撰文者
59056,57355,0,[Undefined],未詳,-9999,,0,39136,lgid=152106,
56847,58603,0,[Undefined],未詳,-9999,,0,57941,lgid=1160868,
65954,66070,0,[Undefined],未詳,-9999,,0,39136,lgid=152154,
700744,76145,0,[Undefined],未詳,-9999,,0,0,lgid=630821,總里萬承恩之負其闔戸租也，代輸百金以釋之。
30849,78479,0,[Undefined],未詳,-9999,,0,39136,lgid=152340,
29954,79422,0,[Undefined],未詳,-9999,,0,57941,lgid=1160873,
77544,83391,0,[Undefined],未詳,-9999,,0,4763,lgid=243407,
72986,83402,0,[Undefined],未詳,-9999,,0,4763,lgid=243406,
79460,83402,0,[Undefined],未詳,-9999,,0,4763,lgid=243406,
83391,83402,0,[Undefined],未詳,-9999,,0,4763,lgid=243406,
56849,90030,0,[Undefined],未詳,-9999,,0,57941,lgid=1160880,
58079,90030,0,[Undefined],未詳,-9999,,0,57941,lgid=1160880,
34215,128182,0,[Undefined],未詳,-9999,,0,39136,lgid=152103,
203682,128711,0,[Undefined],未詳,-9999,,0,39136,lgid=152143,
34219,129440,0,[Undefined],未詳,-9999,,0,39136,lgid=152152,
126976,129440,0,[Undefined],未詳,-9999,,0,39136,lgid=152152,
34748,130558,0,[Undefined],未詳,-9999,,0,39136,lgid=152104,
696716,130558,0,[Undefined],未詳,-9999,,0,39136,lgid=152104,
525132,130730,0,[Undefined],未詳,-9999,,0,39136,lgid=152156,
34219,130742,0,[Undefined],未詳,-9999,,0,39136,lgid=152148,
201253,131269,0,[Undefined],未詳,-9999,,0,39136,lgid=152137,
68363,131945,0,[Undefined],未詳,-9999,,0,39136,lgid=152144,
124055,132667,0,[Undefined],未詳,-9999,,0,2067,lgid=65797,劾執政沈一貫
65942,133108,0,[Undefined],未詳,-9999,,0,2067,lgid=65798,以中救黃道周○○○罷歸
351472,133108,0,[Undefined],未詳,-9999,,0,60745,6,《增修毘陵人品記》叙，［明］毛憲、［明］葉金 初編，［明］顧憲成 重編，［明］吴亮 增補 ，王繼宗 點校 ：《毗陵人品記•叙（錢春）》，《常州歷史文獻叢書 第1輯——毗陵人品記》，鳳凰出版社，2013年07月，第6頁。
132356,202922,0,[Undefined],未詳,-9999,,0,38685,lgid=356634,爲鄭副使世威屬稿
124310,235134,0,[Undefined],未詳,-9999,,0,39136,lgid=152153,
65954,341289,0,[Undefined],未詳,-9999,,0,2067,lgid=65799,以忤○○○魏璫歸
34807,348022,0,[Undefined],未詳,-9999,,0,70688,卷之三,孫奇逢祠堂碑記撰文者
78479,352360,0,[Undefined],未詳,-9999,,0,39136,lgid=152147,
128050,353275,0,[Undefined],未詳,-9999,,0,39136,lgid=152161,
29954,354987,0,[Undefined],未詳,-9999,,0,57941,lgid=1160864,
33923,354987,0,[Undefined],未詳,-9999,,0,57941,lgid=1160864,
30628,355282,0,[Undefined],未詳,-9999,,0,39136,lgid=152158,
55817,657623,0,[Undefined],未詳,-9999,,0,57941,lgid=1160869,
30607,684041,0,[Undefined],未詳,-9999,,0,38685,lgid=356640,
691910,684042,0,[Undefined],未詳,-9999,,0,38685,lgid=356642,林某向應彥卿求印信以杜争端，彥卿为之印
690942,690941,0,[Undefined],未詳,-9999,,0,0,,
690941,690942,0,[Undefined],未詳,-9999,,0,0,,
691879,691871,0,[Undefined],未詳,-9999,,0,64847,一二二 王貽永母申氏墓誌,
691871,691879,0,[Undefined],未詳,-9999,,0,64847,一二二 王貽永母申氏墓誌,
684042,691910,0,[Undefined],未詳,-9999,,0,38685,lgid=356642,林某向應彥卿求印信以杜争端，彥卿为之印
57598,696706,0,[Undefined],未詳,-9999,,0,57941,lgid=1160858,
696589,696723,0,[Undefined],未詳,-9999,,0,64847,一四四 呂昭素墓誌,
696589,696725,0,[Undefined],未詳,-9999,,0,64847,一四四 呂昭素墓誌,
696589,696729,0,[Undefined],未詳,-9999,,0,64847,一四四 呂昭素墓誌,
696788,696729,0,[Undefined],未詳,-9999,,0,64847,一四四 呂昭素墓誌,
696788,696815,0,[Undefined],未詳,-9999,,0,64847,一五二 高惟正墓誌,
696788,696824,0,[Undefined],未詳,-9999,,0,64847,一五二 高惟正墓誌,
696788,696826,0,[Undefined],未詳,-9999,,0,64847,一五二 高惟正墓誌,
696877,696898,0,[Undefined],未詳,-9999,,0,64847,北宋卷 156 蘇通墓誌,
696932,696918,0,[Undefined],未詳,-9999,,0,57941,lgid=1160890,
697031,697076,0,[Undefined],未詳,-9999,,0,64847,一六二 郭璪墓誌,
83695,697112,0,[Undefined],未詳,-9999,,0,4763,lgid=243491,
697563,697546,0,[Undefined],未詳,-9999,,0,64847,一六六 和以正墓誌,造棺木人
697546,697563,0,[Undefined],未詳,-9999,,0,64847,一六六 和以正墓誌,造棺木人
1762,77,4,Patron of (= Client was),是Y的恩主,-1,,0,7596,14165,封秀國公 升之深狡多智數 初附王安石 既為相 時為小異
8008,175,4,Patron of (= Client was),是Y的恩主,1155,,0,0,,
1762,195,4,Patron of (= Client was),是Y的恩主,1080,,0,0,,
8044,201,4,Patron of (= Client was),是Y的恩主,1136,,0,0,,
279,245,4,Patron of (= Client was),是Y的恩主,1041,,0,0,,
8008,252,4,Patron of (= Client was),是Y的恩主,-1,,0,7596,12718,除太學官 建炎初官給事中 以秦檜用事致仕 檜卒 起吏部侍郎、參知政事
8008,334,4,Patron of (= Client was),是Y的恩主,1155,,0,0,,
8024,405,4,Patron of (= Client was),是Y的恩主,1139,,0,0,,
40636,455,4,Patron of (= Client was),是Y的恩主,-1,,0,0,,
8044,469,4,Patron of (= Client was),是Y的恩主,1136,,0,0,,
1762,485,4,Patron of (= Client was),是Y的恩主,1110,,0,0,,
461,548,4,Patron of (= Client was),是Y的恩主,1103,,0,0,,
1488,560,4,Patron of (= Client was),是Y的恩主,1086,,0,0,,
1309,753,4,Patron of (= Client was),是Y的恩主,1087,,0,0,,
1762,753,4,Patron of (= Client was),是Y的恩主,1080,,0,0,,
8115,890,4,Patron of (= Client was),是Y的恩主,996,,0,0,,
8008,896,4,Patron of (= Client was),是Y的恩主,1155,,0,0,,
1646,942,4,Patron of (= Client was),是Y的恩主,1039,,0,0,,
1314,996,4,Patron of (= Client was),是Y的恩主,1089,,0,0,,
1488,996,4,Patron of (= Client was),是Y的恩主,1086,,0,0,,
1641,1002,4,Patron of (= Client was),是Y的恩主,1023,,0,0,,
1641,1022,4,Patron of (= Client was),是Y的恩主,1023,,0,0,,
1762,1024,4,Patron of (= Client was),是Y的恩主,1080,,0,0,,
333,1174,4,Patron of (= Client was),是Y的恩主,1101,,0,0,,
8131,1174,4,Patron of (= Client was),是Y的恩主,1117,,0,0,,
3710,1221,4,Patron of (= Client was),是Y的恩主,945,,0,0,,
1646,1232,4,Patron of (= Client was),是Y的恩主,1039,,0,0,,
333,1294,4,Patron of (= Client was),是Y的恩主,-1,,0,7596,6705,紹聖中擢寶文閣待制 知開封府 專附章惇、蔡卞 多殺不辜 燬案牘以滅口
8131,1294,4,Patron of (= Client was),是Y的恩主,-1,,0,7596,6705,紹聖中擢寶文閣待制 知開封府 專附章惇、蔡卞 多殺不辜 燬案牘以滅口
8008,1373,4,Patron of (= Client was),是Y的恩主,1155,,0,0,,
8008,1382,4,Patron of (= Client was),是Y的恩主,1155,,0,0,,
1646,1391,4,Patron of (= Client was),是Y的恩主,1039,,0,0,,
1641,1430,4,Patron of (= Client was),是Y的恩主,1023,,0,0,,
1960,1453,4,Patron of (= Client was),是Y的恩主,1080,,0,0,,
1762,1521,4,Patron of (= Client was),是Y的恩主,1080,,0,0,,
8065,1599,4,Patron of (= Client was),是Y的恩主,1129,,0,0,,
1762,1630,4,Patron of (= Client was),是Y的恩主,1080,,0,0,,
1762,1647,4,Patron of (= Client was),是Y的恩主,-1,,0,7596,20923,第嘉祐四年進士 擢監察御史裏行 初附王安石 及知神宗已厭之 即疏其過以賈直
272,1648,4,Patron of (= Client was),是Y的恩主,1112,,0,0,,
8008,1673,4,Patron of (= Client was),是Y的恩主,1155,,0,0,,
8150,1903,4,Patron of (= Client was),是Y的恩主,1007,,0,0,,
8008,1908,4,Patron of (= Client was),是Y的恩主,-1,,0,7596,1517,除廣西轉運判官 皆有政績 後附麗秦檜 歷御史中丞 至參知政事
1646,2003,4,Patron of (= Client was),是Y的恩主,1039,,0,0,,
