c_personid,c_sequence,c_status_code,c_status_desc,c_status_desc_chn,c_firstyear,c_lastyear,c_source,c_pages,c_notes
1,1,68,office: finance,[財政官員],0,0,0,,
1,2,34,office:state council,[宰執],0,0,0,,
2,1,68,office: finance,[財政官員],0,0,0,,
3,0,14,commoner (buyi),布衣,,,7596,3024,
3,1,68,office: finance,[財政官員],0,0,0,,
3,1,286,Listed in Yuanyou coalition register (元祐黨),入元祐黨籍者,,,2986,,
3,2,34,office:state council,[宰執],0,0,0,,
4,0,9,calligrapher,書法家,,,0,,
4,0,40,civil office,[為官者：文],,,0,,
4,1,68,office: finance,[財政官員],0,0,0,,
5,0,40,civil office,[為官者：文],,,0,,
5,1,68,office: finance,[財政官員],0,0,0,,
6,0,40,civil office,[為官者：文],,,0,,
6,0,52,literati,士人,,,0,,
6,1,68,office: finance,[財政官員],0,0,0,,
7,1,68,office: finance,[財政官員],0,0,0,,
8,1,68,office: finance,[財政官員],0,0,0,,
9,1,68,office: finance,[財政官員],0,0,0,,
10,0,40,civil office,[為官者：文],,,0,,
10,1,68,office: finance,[財政官員],0,0,0,,
11,0,144,holder of a private library,藏書家,,,0,,
11,0,205,bibliographer,目錄學家,,,7596,10701,
11,1,68,office: finance,[財政官員],0,0,0,,
12,0,40,civil office,[為官者：文],,,0,,
12,1,68,office: finance,[財政官員],0,0,0,,
13,0,9,calligrapher,書法家,,,7596,10729,
13,0,40,civil office,[為官者：文],,,0,,
13,0,71,painter,畫家,,,7596,10729,
13,0,114,poet,詩人,,,0,,
13,0,263,extensive factual knowledge,強記;博學強記,,,7596,10729,
13,0,285,Known for Epigraphy,好金石,,,26791,,
13,1,68,office: finance,[財政官員],0,0,0,,
13,1,286,Listed in Yuanyou coalition register (元祐黨),入元祐黨籍者,,,2986,,
14,0,165,man of culture (wenren),文人,,,0,,
14,1,68,office: finance,[財政官員],0,0,0,,
15,1,68,office: finance,[財政官員],0,0,0,,
16,1,68,office: finance,[財政官員],0,0,0,,
17,1,68,office: finance,[財政官員],0,0,0,,
18,1,68,office: finance,[財政官員],0,0,0,,
19,0,186,society member,結社,,,7596,13861,
19,1,68,office: finance,[財政官員],0,0,0,,
19,1,286,Listed in Yuanyou coalition register (元祐黨),入元祐黨籍者,,,2986,,
20,0,114,poet,詩人,,,7596,14480,
20,0,192,scholar of Classics (Classics of Rites),經學家—禮經,,,7596,14480,
20,1,68,office: finance,[財政官員],0,0,0,,
21,1,68,office: finance,[財政官員],0,0,0,,
22,1,50,landownership,家有田產,1130,1130,0,,From Hartwell's STATUS code.
22,2,68,office: finance,[財政官員],0,0,0,,
23,1,68,office: finance,[財政官員],0,0,0,,
24,0,157,honest official,良吏;循吏,,,7596,14200,
24,1,68,office: finance,[財政官員],0,0,0,,
25,0,142,historian,史學家,,,7596,13580,
25,1,68,office: finance,[財政官員],0,0,0,,
26,0,114,poet,詩人,,,7596,13956,
26,1,68,office: finance,[財政官員],0,0,0,,
27,1,68,office: finance,[財政官員],0,0,0,,
28,1,68,office: finance,[財政官員],0,0,0,,
29,1,68,office: finance,[財政官員],0,0,0,,
30,1,68,office: finance,[財政官員],0,0,0,,
31,1,68,office: finance,[財政官員],0,0,0,,
32,1,68,office: finance,[財政官員],0,0,0,,
33,1,68,office: finance,[財政官員],0,0,0,,
34,1,68,office: finance,[財政官員],0,0,0,,
34,2,34,office:state council,[宰執],0,0,0,,
35,1,68,office: finance,[財政官員],0,0,0,,
36,0,197,scholar of Classics (Spring and Autumn Annals),經學家—春秋,,,7596,14100,
36,0,238,rhapsody writer,工於作賦,,,7596,14100,
36,1,68,office: finance,[財政官員],0,0,0,,
37,0,264,fond of learning,好學,,,7596,13807,
37,1,68,office: finance,[財政官員],0,0,0,,
38,1,68,office: finance,[財政官員],0,0,0,,
