main_dynasty,address_type_desc,fact_count
先秦,籍貫(基本地址),295
先秦,戶籍地,0
先秦,八旗清代,0
先秦,死所,133
先秦,遊歷或曾經到過,0
先秦,葬地,120
先秦,遷住地,18
先秦,前住地,3
先秦,另一籍貫(基本地址),0
先秦,祖籍,96
西漢,籍貫(基本地址),129
西漢,戶籍地,0
西漢,八旗清代,0
西漢,死所,0
西漢,遊歷或曾經到過,0
西漢,葬地,0
西漢,遷住地,27
西漢,前住地,27
西漢,另一籍貫(基本地址),0
西漢,祖籍,0
東漢,籍貫(基本地址),187
東漢,戶籍地,0
東漢,八旗清代,0
東漢,死所,0
東漢,遊歷或曾經到過,0
東漢,葬地,0
東漢,遷住地,21
東漢,前住地,20
東漢,另一籍貫(基本地址),0
東漢,祖籍,0
三國,籍貫(基本地址),91
三國,戶籍地,0
三國,八旗清代,0
三國,死所,0
三國,遊歷或曾經到過,0
三國,葬地,0
三國,遷住地,15
三國,前住地,15
三國,另一籍貫(基本地址),0
三國,祖籍,0
西晉,籍貫(基本地址),104
西晉,戶籍地,0
西晉,八旗清代,0
西晉,死所,0
西晉,遊歷或曾經到過,0
西晉,葬地,0
西晉,遷住地,14
西晉,前住地,14
西晉,另一籍貫(基本地址),0
西晉,祖籍,0
東晉,籍貫(基本地址),133
東晉,戶籍地,0
東晉,八旗清代,0
東晉,死所,0
東晉,遊歷或曾經到過,0
東晉,葬地,0
東晉,遷住地,38
東晉,前住地,37
東晉,另一籍貫(基本地址),0
東晉,祖籍,0
南北朝,籍貫(基本地址),3605
南北朝,戶籍地,0
南北朝,八旗清代,0
南北朝,死所,10
南北朝,遊歷或曾經到過,0
南北朝,葬地,17
南北朝,遷住地,82
南北朝,前住地,81
南北朝,另一籍貫(基本地址),2
南北朝,祖籍,2
隋,籍貫(基本地址),429
隋,戶籍地,0
隋,八旗清代,0
隋,死所,22
隋,遊歷或曾經到過,0
隋,葬地,62
隋,遷住地,21
隋,前住地,18
隋,另一籍貫(基本地址),0
隋,祖籍,11
唐,籍貫(基本地址),43250
唐,戶籍地,0
唐,八旗清代,0
唐,死所,2521
唐,遊歷或曾經到過,133
唐,葬地,2553
唐,遷住地,362
唐,前住地,263
唐,另一籍貫(基本地址),158
唐,祖籍,1091
五代十國,籍貫(基本地址),1565
五代十國,戶籍地,0
五代十國,八旗清代,0
五代十國,死所,31
五代十國,遊歷或曾經到過,4
五代十國,葬地,71
五代十國,遷住地,242
五代十國,前住地,229
五代十國,另一籍貫(基本地址),60
五代十國,祖籍,46
南宋,籍貫(基本地址),56938
南宋,戶籍地,2
南宋,八旗清代,1
南宋,死所,147
南宋,遊歷或曾經到過,96
南宋,葬地,398
南宋,遷住地,1805
南宋,前住地,1453
南宋,另一籍貫(基本地址),1576
南宋,祖籍,573
遼,籍貫(基本地址),222
遼,戶籍地,0
遼,八旗清代,0
遼,死所,0
遼,遊歷或曾經到過,1
遼,葬地,1
遼,遷住地,3
遼,前住地,3
遼,另一籍貫(基本地址),0
遼,祖籍,1
金,籍貫(基本地址),252
金,戶籍地,0
金,八旗清代,0
金,死所,0
金,遊歷或曾經到過,1
金,葬地,2
金,遷住地,8
金,前住地,7
金,另一籍貫(基本地址),0
金,祖籍,0
元,籍貫(基本地址),11444
元,戶籍地,0
元,八旗清代,0
元,死所,36
元,遊歷或曾經到過,5
元,葬地,48
元,遷住地,197
元,前住地,130
元,另一籍貫(基本地址),74
元,祖籍,29
明,籍貫(基本地址),98349
明,戶籍地,20371
明,八旗清代,306
明,死所,360
明,遊歷或曾經到過,381
明,葬地,26
明,遷住地,287
明,前住地,75
明,另一籍貫(基本地址),82
明,祖籍,130
清,籍貫(基本地址),185183
清,戶籍地,217
清,八旗清代,4176
清,死所,599
清,遊歷或曾經到過,2994
清,葬地,114
清,遷住地,168
清,前住地,55
清,另一籍貫(基本地址),290
清,祖籍,138
其他,籍貫(基本地址),3110
其他,戶籍地,0
其他,八旗清代,103
其他,死所,1
其他,遊歷或曾經到過,1
其他,葬地,0
其他,遷住地,0
其他,前住地,1
其他,另一籍貫(基本地址),21
其他,祖籍,0
非中国朝代,籍貫(基本地址),10
非中国朝代,戶籍地,0
非中国朝代,八旗清代,0
非中国朝代,死所,0
非中国朝代,遊歷或曾經到過,0
非中国朝代,葬地,0
非中国朝代,遷住地,0
非中国朝代,前住地,0
非中国朝代,另一籍貫(基本地址),0
非中国朝代,祖籍,0
未知,籍貫(基本地址),1881
未知,戶籍地,1
未知,八旗清代,2
未知,死所,8
未知,遊歷或曾經到過,15
未知,葬地,9
未知,遷住地,21
未知,前住地,9
未知,另一籍貫(基本地址),1
未知,祖籍,8
