main_dynasty,gender,person_count
先秦,男,581
先秦,女,164
先秦,未知,7
西漢,男,380
西漢,女,18
西漢,未知,4
東漢,男,411
東漢,女,27
東漢,未知,0
三國,男,309
三國,女,32
三國,未知,16
西晉,男,358
西晉,女,28
西晉,未知,0
東晉,男,381
東晉,女,22
東晉,未知,2
南北朝,男,4654
南北朝,女,110
南北朝,未知,3
隋,男,698
隋,女,42
隋,未知,1
唐,男,48691
唐,女,4541
唐,未知,4244
五代十國,男,2412
五代十國,女,150
五代十國,未知,9
南宋,男,78130
南宋,女,5024
南宋,未知,158
遼,男,257
遼,女,86
遼,未知,0
金,男,744
金,女,55
金,未知,0
元,男,24335
元,女,899
元,未知,75
明,男,183711
明,女,36748
明,未知,4200
清,男,212673
清,女,8948
清,未知,14401
其他,男,4252
其他,女,24
其他,未知,460
非中国朝代,男,4434
非中国朝代,女,13
非中国朝代,未知,0
未知,男,9609
未知,女,719
未知,未知,691
