dynasty_chn,person_count
清,236022
明,224659
宋,83312
唐,57476
元,25309
中華民國,4687
朝鮮,2649
南北朝,1828
韓國,1395
五代,1345
北魏,1011
金,799
隋,741
宋(劉),477
周,461
東漢,438
東晉,405
高麗,399
西漢,391
西晉,386
南梁,365
遼,341
北周,288
南唐,277
南齊,264
後漢,250
三國魏,191
陳,178
秦漢,139
吳越,137
北齊,116
漢前,111
閩國,101
三國吳,99
後唐,92
後蜀,81
後周,69
吳(楊),60
後晉,50
東魏,45
西魏,45
三國蜀,43
後梁,42
中華人民共和國,35
前秦,25
三國,24
吳,24
前蜀,21
南漢,19
後秦,19
後趙,16
贏秦,16
前燕,15
東梁,14
西夏,14
西涼,12
新,11
偽齊,10
楚(馬),10
後燕,9
前涼,8
南平,7
西秦,7
南燕,5
後涼,4
新羅,4
鄭（王世充）,4
北漢,3
西梁,3
代,2
西遼,2
前趙,1
北涼,1
北燕,1
晉,1
西燕,1
未知,11019
