main_dynasty,status_desc,fact_count
先秦,[為官者：文],11
先秦,詩人,30
先秦,畫家,0
先秦,孝子/孝女,0
先秦,[財政官員],0
先秦,[武官],3
先秦,貞婦,0
先秦,僧人,0
先秦,地方士人/鄉紳,0
先秦,工於文,10
西漢,[為官者：文],75
西漢,詩人,0
西漢,畫家,0
西漢,孝子/孝女,0
西漢,[財政官員],0
西漢,[武官],11
西漢,貞婦,0
西漢,僧人,0
西漢,地方士人/鄉紳,0
西漢,工於文,0
東漢,[為官者：文],115
東漢,詩人,0
東漢,畫家,0
東漢,孝子/孝女,0
東漢,[財政官員],0
東漢,[武官],11
東漢,貞婦,0
東漢,僧人,0
東漢,地方士人/鄉紳,2
東漢,工於文,0
三國,[為官者：文],52
三國,詩人,0
三國,畫家,0
三國,孝子/孝女,0
三國,[財政官員],0
三國,[武官],14
三國,貞婦,0
三國,僧人,0
三國,地方士人/鄉紳,1
三國,工於文,0
西晉,[為官者：文],72
西晉,詩人,0
西晉,畫家,0
西晉,孝子/孝女,0
西晉,[財政官員],0
西晉,[武官],4
西晉,貞婦,0
西晉,僧人,0
西晉,地方士人/鄉紳,0
西晉,工於文,0
東晉,[為官者：文],86
東晉,詩人,1
東晉,畫家,0
東晉,孝子/孝女,0
東晉,[財政官員],0
東晉,[武官],4
東晉,貞婦,0
東晉,僧人,0
東晉,地方士人/鄉紳,0
東晉,工於文,0
南北朝,[為官者：文],486
南北朝,詩人,32
南北朝,畫家,4
南北朝,孝子/孝女,0
南北朝,[財政官員],0
南北朝,[武官],52
南北朝,貞婦,0
南北朝,僧人,2
南北朝,地方士人/鄉紳,2
南北朝,工於文,2
隋,[為官者：文],141
隋,詩人,22
隋,畫家,0
隋,孝子/孝女,0
隋,[財政官員],0
隋,[武官],25
隋,貞婦,0
隋,僧人,0
隋,地方士人/鄉紳,1
隋,工於文,11
唐,[為官者：文],1539
唐,詩人,2865
唐,畫家,82
唐,孝子/孝女,2
唐,[財政官員],11
唐,[武官],124
唐,貞婦,1
唐,僧人,630
唐,地方士人/鄉紳,10
唐,工於文,743
五代十國,[為官者：文],349
五代十國,詩人,147
五代十國,畫家,8
五代十國,孝子/孝女,8
五代十國,[財政官員],4
五代十國,[武官],100
五代十國,貞婦,0
五代十國,僧人,12
五代十國,地方士人/鄉紳,58
五代十國,工於文,72
南宋,[為官者：文],12181
南宋,詩人,495
南宋,畫家,707
南宋,孝子/孝女,441
南宋,[財政官員],2762
南宋,[武官],1901
南宋,貞婦,29
南宋,僧人,1157
南宋,地方士人/鄉紳,1255
南宋,工於文,56
遼,[為官者：文],1
遼,詩人,2
遼,畫家,0
遼,孝子/孝女,0
遼,[財政官員],1
遼,[武官],5
遼,貞婦,0
遼,僧人,0
遼,地方士人/鄉紳,1
遼,工於文,0
金,[為官者：文],62
金,詩人,0
金,畫家,0
金,孝子/孝女,0
金,[財政官員],0
金,[武官],17
金,貞婦,0
金,僧人,3
金,地方士人/鄉紳,18
金,工於文,0
元,[為官者：文],642
元,詩人,127
元,畫家,117
元,孝子/孝女,140
元,[財政官員],7
元,[武官],124
元,貞婦,71
元,僧人,27
元,地方士人/鄉紳,40
元,工於文,54
明,[為官者：文],806
明,詩人,487
明,畫家,1101
明,孝子/孝女,1000
明,[財政官員],0
明,[武官],54
明,貞婦,442
明,僧人,160
明,地方士人/鄉紳,57
明,工於文,292
清,[為官者：文],399
清,詩人,787
清,畫家,1563
清,孝子/孝女,1608
清,[財政官員],0
清,[武官],36
清,貞婦,1628
清,僧人,60
清,地方士人/鄉紳,44
清,工於文,248
其他,[為官者：文],0
其他,詩人,6
其他,畫家,4
其他,孝子/孝女,0
其他,[財政官員],0
其他,[武官],0
其他,貞婦,0
其他,僧人,0
其他,地方士人/鄉紳,1
其他,工於文,0
非中国朝代,[為官者：文],1
非中国朝代,詩人,0
非中国朝代,畫家,0
非中国朝代,孝子/孝女,0
非中国朝代,[財政官員],0
非中国朝代,[武官],0
非中国朝代,貞婦,0
非中国朝代,僧人,0
非中国朝代,地方士人/鄉紳,0
非中国朝代,工於文,0
未知,[為官者：文],8
未知,詩人,10
未知,畫家,15
未知,孝子/孝女,38
未知,[財政官員],0
未知,[武官],0
未知,貞婦,32
未知,僧人,7
未知,地方士人/鄉紳,1
未知,工於文,3
