source_id,source_name,target_id,target_name,category,detail_types
30727,釋惠洪,44423,柳瑾,友人,友
30727,釋惠洪,272,張商英,其他,建築物得到Y的題詠、記、命名|收到Y的答書|書跋由Y所作|為Y之建築物題詠、記、命名|為Y所著書作跋|答Y書|致書Y|被致書由Y
30727,釋惠洪,1493,蘇轍,文學交往,書跋由Y所作|為Y所著書作跋
30727,釋惠洪,1762,王安石,文學交往,書跋由Y所作|為Y所著書作跋
30727,釋惠洪,3043,秦觀,文學交往,書跋由Y所作|為Y所著書作跋
30727,釋惠洪,3767,蘇軾,其他,建築物得到Y的題詠、記、命名|書跋由Y所作|為Y之建築物題詠、記、命名|為Y作畫贊(畫像記)|為Y所著書作跋|畫贊(畫像記)由Y所作
30727,釋惠洪,12354,張耒,文學交往,書跋由Y所作|為Y所著書作跋
30727,釋惠洪,19771,李彭,其他,書跋由Y所作|為Y之詩文作跋|為Y所著書作跋|詩文跋由Y所作
30727,釋惠洪,21240,蘇庠,文學交往,書跋由Y所作|為Y所著書作跋
30727,釋惠洪,45900,王定國,文學交往,書跋由Y所作|為Y所著書作跋
30727,釋惠洪,40419,釋懷璉,其他,傳記作者為Y|為Y作傳
30727,釋惠洪,7111,黃庭堅,其他,佛寺記由Y所作|為Y作佛寺記
30727,釋惠洪,13,晁補之,其他,其書帖由Y作題|題Y的書帖
13,晁補之,3767,蘇軾,其他,書跋由Y所作|欣賞/器重|為Y作畫贊(畫像記)|為Y作祭文|為Y所著書作跋|畫贊(畫像記)由Y所作|祭文由Y所作|致書Y|被Y欣賞/器重|被致書由Y
13,晁補之,7076,王安國,師生,學生為Y|為Y之學生
13,晁補之,982,李清臣,其他,墓誌銘由Y所作|為Y作墓誌銘|為Y作祭文|為Y作行狀|祭文由Y所作|行狀由Y所作
13,晁補之,7111,黃庭堅,其他,同學、同門|墓誌銘由Y所作|書跋由Y所作|為Y作墓誌銘|為Y所著書作跋|致書Y|被致書由Y
13,晁補之,12354,張耒,其他,墓誌銘由Y所作|為Y作墓誌銘|為Y作祭文|祭文由Y所作
13,晁補之,14761,邢居實,文學交往,書跋由Y所作|為Y所著書作跋
13,晁補之,24980,廖正一,文學交往,書跋由Y所作|為Y所著書作跋
13,晁補之,33480,郭忠恕,文學交往,書跋由Y所作|為Y所著書作跋
13,晁補之,3029,晁說之,其他,書跋由Y所作|為Y作畫贊(畫像記)|為Y所著書作跋|畫贊(畫像記)由Y所作
13,晁補之,12431,張九成,文學交往,書跋由Y所作|為Y所著書作跋
13,晁補之,13565,李昭玘,其他,哀辭由Y所作|書、畫由Y作跋|書跋由Y所作|為Y之書、畫作跋|為Y作哀辭|為Y作祭文|為Y所著書作跋|祭文由Y所作
13,晁補之,14228,周紫芝,其他,其書帖由Y作題|書跋由Y所作|為Y所著書作跋|題Y的書帖
13,晁補之,40844,杜輿,其他,字說、名述由Y所作|從Y學|教授Y|為Y作字說、名述
13,晁補之,14,晁端彥,其他,為Y作祭文|祭文由Y所作
13,晁補之,1314,呂公著,其他,為Y作祭文|祭文由Y所作
13,晁補之,1384,歐陽修,其他,為Y作祭文|祭文由Y所作
13,晁補之,1488,司馬光,其他,為Y作祭文|祭文由Y所作
13,晁補之,3025,晁端友,其他,為Y作祭文|祭文由Y所作
13,晁補之,5095,薛氏(歐陽修妻),其他,為Y作祭文|祭文由Y所作
13,晁補之,1417,畢仲游,文學交往,致書Y|被致書由Y
13,晁補之,1301,呂仲甫,文學交往,致書Y|被致書由Y
13,晁補之,20457,劉羲仲,文學交往,收到Y的答書|答Y書
13,晁補之,669,韓元吉,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
13,晁補之,561,范純粹,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
13,晁補之,7039,李格非,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
13,晁補之,7072,曾肇,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
51214,褚承亮,3767,蘇軾,其他,文風為Y所稱道|稱道Y之文風
14,晁端彥,333,章惇,其他,反對/攻訐|遭到Y的反對/攻訐
14,晁端彥,3029,晁說之,其他,年譜由Y所作|為Y作年譜
14,晁端彥,3767,蘇軾,文學交往,致書Y|被致書由Y
47121,張希元,3767,蘇軾,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
53270,釋希白,3029,晁說之,文學交往,書跋由Y所作|為Y所著書作跋
53270,釋希白,3767,蘇軾,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
43033,孫立節,7364,曾鞏,友人,友
43033,孫立節,3767,蘇軾,其他,收到Y的贈詩、文|欣賞/器重|被Y欣賞/器重|贈詩、文
43033,孫立節,1762,王安石,其他,拒絕在Y主政的政府中任職|拒絕在Y的主政期出仕
43033,孫立節,10084,吳澄,其他,為Y作祠記|祠記由Y所作
49178,程建用,3767,蘇軾,其他,同學、同門|致書Y|被致書由Y
118809,馬閒卿,3767,蘇軾,其他,畫風師法Y|畫風為Y所師法
53286,釋妙善,3767,蘇軾,文學交往,致書Y|被致書由Y
2092,虞策,3767,蘇軾,其他,彈劾|被Y彈劾
2092,虞策,7026,范祖禹,其他,推薦|被Y推薦
49198,程遵彥,3767,蘇軾,其他,推薦|被Y推薦
49198,程遵彥,7026,范祖禹,其他,推薦|被Y推薦
10289,袁燮,3624,樓鑰,其他,墓誌銘由Y所作|為Y作墓誌銘|為Y作祭文|為Y作行狀|祭文由Y所作|行狀由Y所作
10289,袁燮,3257,朱熹,文學交往,書跋由Y所作|為Y所著書作跋
10289,袁燮,3767,蘇軾,其他,書跋由Y所作|為Y作祠記|為Y所著書作跋|祠記由Y所作
10289,袁燮,7111,黃庭堅,文學交往,書跋由Y所作|為Y所著書作跋
10289,袁燮,8043,范仲淹,其他,書、畫由Y作跋|書跋由Y所作|為Y之書、畫作跋|為Y所著書作跋
10289,袁燮,8078,李綱,文學交往,書跋由Y所作|為Y所著書作跋
10289,袁燮,10389,袁桷,其他,建築物得到Y的題詠、記、命名|書跋由Y所作|為Y之建築物題詠、記、命名|為Y所著書作跋
10289,袁燮,10755,程珌,其他,為Y作祭文|祭文由Y所作
10289,袁燮,7045,劉安世,其他,為Y作祠記|祠記由Y所作
10289,袁燮,12431,張九成,其他,為Y作祠記|祠記由Y所作
49201,程懷之,3767,蘇軾,其他,書、畫為Y所稱道|稱道Y的書、畫
47159,張杲之,3767,蘇軾,文學交往,致書Y|被致書由Y
53309,釋法言,3767,蘇軾,其他,從Y遊|從遊者為Y|致書Y|被致書由Y
53309,釋法言,3043,秦觀,其他,佛寺記由Y所作|為Y作佛寺記
49213,舒煥,3767,蘇軾,其他,收到Y的答書|相唱和|答Y書
12354,張耒,7111,黃庭堅,其他,友|同學、同門|致書Y|被致書由Y
12354,張耒,40844,杜輿,其他,友|字說、名述由Y所作|為Y作字說、名述
12354,張耒,3767,蘇軾,師生,學生為Y|收到Y的答書|書跋由Y所作|為Y之學生|為Y所著書作跋|答Y書|致書Y|被致書由Y
12354,張耒,11541,潘大臨,其他,從Y遊|從遊者為Y|書序由Y所作|為Y所著書作序
12354,張耒,7308,歐陽發,墓誌傳記,墓誌銘由Y所作|為Y作墓誌銘
12354,張耒,10101,龐安時,墓誌傳記,墓誌銘由Y所作|為Y作墓誌銘
12354,張耒,1759,汪應辰,其他,書跋由Y所作|為Y之詩文作跋|為Y所著書作跋|詩文跋由Y所作
12354,張耒,4001,魏了翁,文學交往,書跋由Y所作|為Y所著書作跋
12354,張耒,7197,周必大,其他,其書帖由Y作題|書跋由Y所作|為Y所著書作跋|題Y的書帖
12354,張耒,1488,司馬光,其他,收到Y的答書|書跋由Y所作|為Y作祠記|為Y作祭文|為Y所著書作跋|祠記由Y所作|祭文由Y所作|答Y書
12354,張耒,1505,蘇舜元,文學交往,書跋由Y所作|為Y所著書作跋
12354,張耒,3043,秦觀,其他,書跋由Y所作|為Y作祭文|為Y作臨別贈言(送別詩、序)|為Y所著書作跋|祭文由Y所作|臨別得到Y所作贈言(送別詩、序)
12354,張耒,7364,曾鞏,文學交往,書跋由Y所作|為Y所著書作跋|致書Y|被致書由Y
12354,張耒,24925,趙令畤,其他,字說、名述由Y所作|書跋由Y所作|為Y作字說、名述|為Y所著書作跋
12354,張耒,14228,周紫芝,文學交往,書跋由Y所作|為Y所著書作跋
12354,張耒,971,李常,其他,為Y作祭文|祭文由Y所作
12354,張耒,1220,劉攽,其他,為Y作祭文|祭文由Y所作
12354,張耒,3484,李之儀,其他,為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
12354,張耒,16026,秦覯,其他,為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
12354,張耒,562,范沖,文學交往,致書Y|被致書由Y
12354,張耒,1555,孫永,文學交往,致書Y|被致書由Y
12354,張耒,1953,文彥博,文學交往,致書Y|被致書由Y
12354,張耒,3081,陳師道,文學交往,收到Y的答書|答Y書|致書Y|被致書由Y
12354,張耒,145,錢勰,文學交往,致書Y|被致書由Y
12354,張耒,29869,徐積,文學交往,致書Y|被致書由Y
12354,張耒,7039,李格非,文學交往,收到Y的答書|答Y書
12354,張耒,20419,劉恕,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
53320,釋法泉,3767,蘇軾,友人,友
53322,釋法泰,3767,蘇軾,墓誌傳記,墓誌銘由Y所作|為Y作墓誌銘|致書Y|被致書由Y
34891,釋道潛,3043,秦觀,其他,友|建築物得到Y的題詠、記、命名|欣賞/器重|為Y之建築物題詠、記、命名|致書Y|著作被Y評論|被Y欣賞/器重|被致書由Y|評論Y之著作
34891,釋道潛,3767,蘇軾,其他,匾額、器銘由Y所篆|欣賞/器重|為Y篆匾額、器銘|稱道Y的詩作|致書Y|著作被Y評論|被Y欣賞/器重|被致書由Y|評論Y之著作|詩作為Y所稱道
34891,釋道潛,3081,陳師道,其他,書序由Y所作|為Y作臨別贈言(送別詩、序)|為Y所著書作序|臨別得到Y所作贈言(送別詩、序)
34891,釋道潛,3624,樓鑰,文學交往,書跋由Y所作|為Y所著書作跋
34891,釋道潛,19168,蘇過,其他,為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
34891,釋道潛,1493,蘇轍,文學交往,致書Y|被致書由Y
2124,宋迪,3767,蘇軾,文學交往,書序由Y所作|為Y所著書作序
