personid,name,degree,betweenness,pagerank,betweenness_rank,pagerank_rank
13,晁補之,138,0.01471902,0.00297754,34,26
217,張方平,124,0.00989584,0.00239842,48,38
333,章惇,81,0.00624172,0.00134733,86,77
211,張浚,78,0.00825518,0.00130986,62,82
375,趙抃,43,0.00641877,0.0007608,84,142
332,張詠,30,0.00177833,0.00059536,251,185
272,張商英,29,0.002809,0.00053158,171,205
264,張嵲,18,0.00260258,0.00034018,183,302
291,張舜民,17,0.0016791,0.00033615,257,303
336,章服,11,0.00066846,0.00030073,513,337
1,安惇,14,0.00033556,0.0002465,666,393
98,陳堯佐,14,0.0011618,0.00024205,364,399
62,陳康伯,13,0.00019747,0.00021761,888,433
128,程瑀,12,0.00056158,0.00021664,542,435
360,趙湘,8,0.00047686,0.00021395,575,439
147,錢公輔,11,0.0002094,0.00020466,874,459
79,陳師錫,12,0.00065108,0.00020241,518,462
165,權邦彥,11,0.00052784,0.00020041,558,469
252,張綱,10,0.000216,0.00019881,859,475
5,查籥,11,9.286e-05,0.00018208,1281,518
344,章得象,9,0.00026339,0.00017545,754,542
3,安燾,10,6.371e-05,0.00015899,1806,605
34,陳執中,9,4.788e-05,0.00015589,1930,616
345,章楶,8,0.0002373,0.00015296,798,630
146,錢易,8,0.0014197,0.00015193,297,636
150,錢端禮,8,8.425e-05,0.00014652,1350,660
174,張闡,8,0.00012577,0.00014229,1136,687
99,陳堯咨,5,0.00023204,0.00013186,812,749
55,陳繹,6,0.00019322,0.00012778,893,783
116,程戡,6,0.00027569,0.00012148,734,839
301,張璪,6,9.498e-05,0.00011922,1266,862
122,程師孟,6,9.693e-05,0.00011721,1247,883
77,陳升之,5,0.0001549,0.00011652,1006,891
183,張齊賢,5,0.00036537,0.00011602,642,897
33118,宋慈,6,0.00040086,0.00011355,614,919
557300,徐宇,4,0.00027424,0.00011195,737,949
279,張士遜,6,2.962e-05,0.00011171,2156,952
145,錢勰,6,3.478e-05,0.00010903,2077,990
321,張堯佐,6,2.861e-05,0.00010706,2175,1013
134,戚綸,4,0.00031019,0.00010704,698,1015
164,楚建中,6,9.668e-05,0.00010489,1250,1046
4,查道,5,6.893e-05,0.00010389,1775,1056
209,張巨,6,1.915e-05,0.00010343,2364,1065
200,張知白,5,9.76e-06,9.775e-05,2699,1153
201,張致遠,5,0.00010299,9.612e-05,1218,1179
118,程琳,5,0.00023883,9.53e-05,794,1195
152,錢遹,5,8.889e-05,9.209e-05,1303,1268
191,張震,5,9.9e-05,9.178e-05,1237,1275
557277,施嶽,3,7.735e-05,9.15e-05,1478,1280
11,晁公武,4,7.758e-05,9.068e-05,1463,1295
334,章傑,4,7.8e-05,8.811e-05,1447,1359
97,陳堯叟,4,0.00021173,8.731e-05,865,1376
31,陳戩,4,8.96e-05,8.58e-05,1300,1405
259,張綸,4,0.00015935,8.299e-05,990,1464
348,趙昌言,4,1.42e-05,8.238e-05,2499,1474
248,張康國,4,6.009e-05,8.192e-05,1835,1492
33,陳知儉,4,6.377e-05,8.079e-05,1805,1522
352,趙瞻,4,7.982e-05,8.045e-05,1402,1530
299,張存,4,0.00017348,8.004e-05,937,1547
318,張昷之,4,1.947e-05,7.96e-05,2349,1563
14,晁端彥,4,8.87e-06,7.689e-05,2752,1678
119,程邁,4,7.78e-06,7.672e-05,2818,1685
234,張峋,3,0.00024621,7.594e-05,782,1718
229,張詵,4,1.12e-05,7.59e-05,2632,1722
310,張洞,4,6.269e-05,7.469e-05,1815,1783
195,張吉甫,3,0.00115662,7.271e-05,370,1853
184,張觷,4,2.465e-05,7.251e-05,2239,1860
83,陳恕,3,7.941e-05,6.848e-05,1411,1984
108,陳越,3,2.34e-06,6.642e-05,3271,2042
199,張植,3,3.634e-05,6.345e-05,2055,2212
262,張沔,3,2.056e-05,6.273e-05,2329,2268
255,張根,3,2.268e-05,6.22e-05,2283,2309
267,張保雍,3,1.61e-06,6.22e-05,3393,2310
72,陳彌作,3,4.723e-05,6.17e-05,1934,2374
353,趙稹,3,1.633e-05,5.965e-05,2430,2638
100,陳琰,2,7.735e-05,5.952e-05,1477,2650
245,張若谷,3,7.88e-06,5.95e-05,2809,2656
24,陳正同,3,1.838e-05,5.941e-05,2380,2662
29,陳桷,3,1.815e-05,5.921e-05,2383,2676
82,陳璹,3,1.259e-05,5.819e-05,2571,2776
271,張掞,3,9.35e-06,5.757e-05,2722,2832
26,陳機,2,7.735e-05,5.743e-05,1476,2841
117,程克俊,3,2.36e-06,5.708e-05,3265,2860
33120,宋翔,3,7.61e-06,5.663e-05,2833,2883
298,張燾,3,8.8e-07,5.594e-05,3525,2915
17,陳安石,3,3.08e-06,5.543e-05,3172,2946
317,張問,3,7.6e-07,5.531e-05,3561,2954
387,趙晟,2,5.2e-07,5.471e-05,3625,2973
78,陳世卿,2,0.00022639,5.28e-05,843,3017
220,張漢彥,2,7.798e-05,5.238e-05,1449,3033
275,張升卿,2,4.506e-05,5.001e-05,1947,3140
6,柴成務,2,1.367e-05,4.916e-05,2517,3217
112,程之邵,2,2.48e-06,4.889e-05,3249,3244
36,陳之淵,2,1.073e-05,4.846e-05,2658,3287
205,張景憲,2,1.175e-05,4.811e-05,2608,3317
138,喬執中,2,4.56e-06,4.792e-05,3037,3338
233,張詢,2,2.427e-05,4.788e-05,2247,3341
90,陳粹,1,0.0,4.761e-05,3830,3373
232,張遜,2,1.4e-05,4.756e-05,2505,3380
362,趙億,2,1.231e-05,4.752e-05,2585,3385
