personid,name,faction,degree,community,文学交往,墓誌传记,师生,友人,其他,cross_new_connections,cross_old_connections
333,章惇,新党,81,4,8,2,1,3,70,0,3
1309,呂惠卿,新党,36,4,12,0,0,4,25,0,2
1384,歐陽修,中立,361,0,243,113,9,15,72,2,5
1488,司馬光,旧党,250,0,156,32,14,8,70,1,0
1493,蘇轍,旧党,112,2,80,9,8,9,20,3,0
1762,王安石,新党,419,8,177,128,39,19,129,0,4
3043,秦觀,旧党,70,2,60,12,2,3,8,0,0
3102,程顥,中立,55,10,33,9,14,4,9,0,2
3105,程頤,旧党,107,10,58,1,52,1,16,0,0
3767,蘇軾,旧党,478,2,397,19,31,34,93,3,0
7111,黃庭堅,旧党,376,2,299,59,20,21,35,2,0
7364,曾鞏,中立,177,8,94,76,10,9,8,1,3
