personid,name,degree,new_camp_connections,old_camp_connections,main_relation_types
7197,周必大,536,2,5,書跋由Y所作; 為Y所著書作跋; 佛寺記由Y所作; 為Y作祠記; 祠記由Y所作
3257,朱熹,1060,1,5,為Y所著書作跋; 書跋由Y所作; 為Y作祠記; 祠記由Y所作; 年譜由Y所作
3640,陸游,267,2,4,書跋由Y所作; 為Y所著書作跋; 書序由Y所作; 畫贊(畫像記)由Y所作; 為Y所著書作序
4001,魏了翁,414,1,5,書跋由Y所作; 為Y所著書作跋; 書序由Y所作; 為Y所著書作序; 為Y作祠記
1314,呂公著,34,1,4,致書Y; 被致書由Y; 為Y作祭文; 祭文由Y所作; 推薦
8078,李綱,149,1,4,書跋由Y所作; 為Y所著書作跋; 為Y作傳; 傳記作者為Y; 稱道Y之節行
628,富弼,73,1,4,致書Y; 被致書由Y; 答Y書; 收到Y的答書; 拒絕在Y的主政期出仕
636,韓絳,23,1,4,祭文由Y所作; 為Y作祭文; 收到Y的答書; 致Y啓; 答Y書
669,韓元吉,134,1,4,書跋由Y所作; 為Y所著書作跋; 為Y作祠記; 祠記由Y所作
728,謝景溫,6,2,3,致書Y; 被致書由Y; 友; 支持; 得到Y的支持
3279,范鎮,38,1,4,墓誌銘由Y所作; 收到Y的答書; 答Y書; 致書Y; 被致書由Y
3624,樓鑰,394,1,4,書跋由Y所作; 為Y所著書作跋; 為Y之建築物題詠、記、命名; 建築物得到Y的題詠、記、命名; 書序由Y所作
30727,釋惠洪,38,1,4,書跋由Y所作; 為Y所著書作跋; 為Y作佛寺記; 佛寺記由Y所作; 建築物得到Y的題詠、記、命名
1759,汪應辰,115,1,4,書跋由Y所作; 為Y所著書作跋; 著作被Y評論; 評論Y之著作
217,張方平,124,1,4,致書Y; 被致書由Y; 祭文由Y所作; 為Y作祭文; 其政策被Y反對/不支持
735,鮮于侁,12,1,4,其政策被Y反對/不支持; 反對/不支持Y的政策; 墓誌銘由Y所作; 書序由Y所作; 為Y所著書作序
