metric,dynasty,value
teacher_student_total,唐,22.0
teacher_student_pct,唐,0.11660571367997032
official_total,唐,1678.0
south_pct,唐,17.313432835820898
north_pct,唐,82.68656716417911
gini,唐,0.6851464098186386
civil_pct,唐,36.14525929065989
military_pct,唐,1.8228062738448496
keju_pct,唐,0.24021478027412743
shannon_diversity,唐,1.9745464636071586
teacher_student_total,宋,4353.0
teacher_student_pct,宋,6.363662943687504
official_total,宋,15340.0
south_pct,宋,74.86449422059688
north_pct,宋,25.135505779403122
gini,宋,0.7681503197077828
civil_pct,宋,36.422121230006496
military_pct,宋,7.286194888744614
keju_pct,宋,1.6348934663282773
shannon_diversity,宋,3.1802109473313447
