dynasty,assoc_type,count
先秦,墓誌銘由Y所作,1
先秦,為Y作墓誌銘,1
先秦,被Y養育,1
先秦,養育,1
先秦,得到Y的喜爱,1
先秦,喜爱,1
先秦,贈詩、文,1
先秦,收到Y的贈詩、文,1
東漢,為Y所著書作序,1
東漢,書序由Y所作,1
東漢,節行為Y所稱道,1
東漢,稱道Y之節行,1
東漢,處決,1
東漢,被Y處決,1
西晉,為Y之婢,2
西晉,婢為Y,2
東晉,從Y學,1
東晉,教授Y,1
東晉,為Y之婢,1
東晉,婢為Y,1
南北朝,為Y之婢,2
南北朝,婢為Y,2
南北朝,節行為Y所稱道,1
南北朝,稱道Y之節行,1
唐,贈詩、文,184
唐,收到Y的贈詩、文,184
唐,墓誌銘由Y所作,30
唐,為Y作墓誌銘,30
唐,相唱和,26
唐,處決,16
唐,被Y處決,16
唐,被Y（或追隨者）殺害,13
唐,其（或追隨者）殺害Y,13
唐,被Y欣賞/器重,9
唐,欣賞/器重,9
唐,相識,8
唐,得到Y的喜爱,8
唐,喜爱,8
唐,與Y共赴難,6
唐,友,4
唐,為Y侍女,4
唐,以Y為侍女,4
唐,為Y的墓誌銘書丹,4
唐,墓誌銘由Y書丹,4
唐,推薦,3
唐,被Y推薦,3
唐,為Y所著書作序,3
唐,書序由Y所作,3
唐,詩作為Y所稱道,3
唐,稱道Y的詩作,3
唐,忌/惡,3
唐,為Y所忌/惡,3
唐,抵禦或討平叛軍Y,3
唐,叛軍遭到Y的抵禦或討平,3
唐,陷害Y,3
唐,被Y陷害,3
唐,書跋由Y所作,2
唐,為Y所著書作跋,2
唐,被Y養育,2
唐,養育,2
唐,哀辭由Y所作,2
唐,為Y作哀辭,2
唐,根據Y的命令被處決,2
唐,下令處決,2
唐,為Y所葬,2
唐,葬,2
唐,廢除Y的君位,2
唐,君位被Y廢除,2
唐,得罪Y,2
唐,被Y得罪,2
唐,墓誌銘額篆由Y所作,2
唐,為Y的墓誌銘作額篆,2
唐,為Y之書題詞,2
唐,書之題詞由Y所作,2
唐,反對/攻訐,1
唐,遭到Y的反對/攻訐,1
唐,為Y之弟子,1
唐,弟子為Y,1
唐,籌劃謀殺,1
唐,被Y籌劃謀殺,1
唐,傳記作者為Y,1
唐,為Y作傳,1
唐,反對/不支持Y的政策,1
唐,其政策被Y反對/不支持,1
唐,讚揚Y之學,1
唐,其學得到Y之讚揚,1
唐,為Y作祭文,1
唐,祭文由Y所作,1
唐,被Y鞫治,1
唐,鞫治,1
唐,因與Y的交往受牽連,1
唐,與他的交往導致Y受牽連,1
唐,擁立Y,1
唐,得到Y的擁立,1
唐,碑陰為Y所作,1
唐,為Y作碑陰,1
唐,拜訪,1
唐,受到Y拜訪,1
唐,神道碑由Y所作,1
唐,為Y作神道碑,1
唐,獻策於Y,1
唐,採納Y之獻策,1
唐,贈Y物,1
唐,受Y之贈物,1
唐,為Y之婢,1
唐,婢為Y,1
五代十國,墓誌銘由Y所作,7
五代十國,為Y作墓誌銘,7
五代十國,被Y欣賞/器重,2
五代十國,欣賞/器重,2
五代十國,弟子為Y,2
五代十國,得到Y的喜爱,2
五代十國,喜爱,2
五代十國,以Y為侍女,2
五代十國,X 之靈塔/舍利塔為 Y 所建,2
五代十國,友,1
五代十國,學生為Y,1
五代十國,為Y之弟子,1
五代十國,書跋由Y所作,1
五代十國,為Y所著書作跋,1
五代十國,傳記作者為Y,1
五代十國,為Y作傳,1
五代十國,為Y所葬,1
五代十國,葬,1
五代十國,為Y侍女,1
五代十國,為Y所作詩文作序,1
五代十國,詩文序由Y所作,1
五代十國,為Y的墓誌銘書丹,1
五代十國,墓誌銘由Y書丹,1
五代十國,Y 為 X 建靈塔/舍利塔,1
南宋,墓誌銘由Y所作,634
南宋,為Y作墓誌銘,634
南宋,為Y作祭文,92
南宋,祭文由Y所作,92
南宋,行狀由Y所作,27
南宋,為Y作行狀,27
南宋,為Y的墓誌銘書丹,26
南宋,墓誌銘由Y書丹,26
南宋,Y 為 X 建靈塔/舍利塔,22
南宋,X 之靈塔/舍利塔為 Y 所建,21
南宋,書跋由Y所作,20
南宋,為Y所著書作跋,20
南宋,墓表由Y所作,15
南宋,為Y作墓表,15
南宋,為Y的神道碑/墓誌/壙誌刊/刻石,15
南宋,神道碑/墓誌/壙誌由Y刊/刻石,15
南宋,傳記作者為Y,13
南宋,為Y作傳,13
南宋,為Y作祝詞,12
南宋,祝詞由Y所作,12
南宋,黨羽為Y,7
南宋,黨魁為Y,7
南宋,友,7
南宋,為Y所著書作序,7
南宋,書序由Y所作,7
南宋,墓誌銘額篆由Y所作,7
南宋,為Y的墓誌銘作額篆,7
南宋,反對/攻訐,6
南宋,遭到Y的反對/攻訐,6
南宋,諡議由Y所作,6
南宋,為Y作諡議,6
南宋,挽詩、詞由Y所作,6
南宋,為Y作挽詩、詞,6
南宋,畫贊(畫像記)由Y所作,6
南宋,為Y作畫贊(畫像記),6
南宋,壙記由Y所作,6
南宋,為Y作壙記,6
南宋,得到Y的支持,5
南宋,支持,5
南宋,被Y養育,5
南宋,養育,5
南宋,贈詩、文,5
南宋,收到Y的贈詩、文,5
南宋,為Y之建築物題詠、記、命名,5
南宋,建築物得到Y的題詠、記、命名,5
南宋,墓誌蓋由Y所書,5
南宋,為Y書墓誌蓋,5
南宋,相唱和,4
南宋,哀辭由Y所作,4
南宋,為Y作哀辭,4
南宋,被Y（或追隨者）殺害,4
南宋,其（或追隨者）殺害Y,4
南宋,被Y欣賞/器重,3
南宋,欣賞/器重,3
南宋,為Y之學生,3
南宋,學生為Y,3
南宋,節行為Y所稱道,3
南宋,稱道Y之節行,3
南宋,墓誌銘由Y作跋,3
南宋,為Y之墓誌銘作跋,3
南宋,以宦官事Y,3
南宋,為宦官Y所事,3
南宋,是Y的恩主,2
南宋,恩主是Y,2
南宋,推薦,2
南宋,被Y推薦,2
南宋,為Y之弟子,2
南宋,詩作為Y所稱道,2
南宋,稱道Y的詩作,2
南宋,論學,2
南宋,同學、同門,2
南宋,反對/不支持Y的政策,2
南宋,其政策被Y反對/不支持,2
南宋,被Y逮捕,2
南宋,逮捕,2
南宋,神道碑的書法由Y所作,2
南宋,為Y之神道碑作書,2
南宋,同僚,2
南宋,為Y所葬,2
南宋,葬,2
南宋,為Y作佛寺記,2
南宋,佛寺記由Y所作,2
南宋,為Y侍女,2
南宋,題Y之畫作,2
南宋,題畫詩文的作者為Y,2
南宋,書、畫為Y所稱道,2
南宋,稱道Y的書、畫,2
南宋,與Y共赴難,2
南宋,為Y取名、字,2
南宋,名、字由Y所取,2
南宋,排擠,1
南宋,遭Y排擠,1
南宋,弟子為Y,1
南宋,文風效法Y,1
南宋,文風為Y所效法,1
南宋,忌/惡,1
南宋,為Y所忌/惡,1
