dynasty,total_person_count,female_count,female_ratio,female_ratio_pct
先秦,752,164,0.218085,21.81
西漢,402,18,0.044776,4.48
東漢,438,27,0.061644,6.16
三國,357,32,0.089636,8.96
西晉,386,28,0.072539,7.25
東晉,405,22,0.054321,5.43
南北朝,4767,110,0.023075,2.31
隋,741,42,0.05668,5.67
唐,57476,4541,0.079007,7.9
五代十國,2571,150,0.058343,5.83
北宋,0,0,0,0
南宋,83312,5024,0.060303,6.03
遼,343,86,0.250729,25.07
金,799,55,0.068836,6.88
元,25309,899,0.035521,3.55
明,224659,36748,0.163572,16.36
清,236022,8948,0.037912,3.79
未知,11019,719,0.065251,6.53
其他,4736,24,0.005068,0.51
非中国朝代,4447,13,0.002923,0.29
