dynasty,kin_role,count
先秦,丈夫,107
先秦,妻子,103
先秦,女兒,69
先秦,母,68
先秦,父,66
先秦,子,51
先秦,祖父,50
先秦,孫女,50
先秦,曾祖,39
先秦,曾孫女,39
先秦,嗣子(作為繼承人的兒子),13
先秦,高祖;四世祖,5
先秦,姊,5
先秦,玄孫女,5
先秦,妹,4
先秦,弟,3
先秦,孫,3
先秦,祖母,3
先秦,兄,2
先秦,妾,2
先秦,女婿,2
先秦,岳母,2
先秦,翁;公公;丈夫之父,2
先秦,子婦;兒媳,2
先秦,丈夫之母;婆婆,1
先秦,孫媳,1
先秦,夫之祖父,1
先秦,曾孫媳婦,1
先秦,夫之曾祖,1
西漢,丈夫,10
西漢,妻子,8
西漢,女兒,5
西漢,父,4
西漢,母,3
西漢,子,2
西漢,妾,1
東漢,丈夫,18
東漢,父,15
東漢,女兒,15
東漢,妻子,14
東漢,母,7
東漢,子,7
東漢,妹,4
東漢,姊,3
東漢,兄弟,2
東漢,兄,2
東漢,第一任妻,2
東漢,姊妹,2
東漢,祖父,1
東漢,弟,1
東漢,第二任妻,1
東漢,妾,1
東漢,繼子,1
東漢,孫女,1
東漢,繼母,1
三國,丈夫,21
三國,妻子,17
三國,女兒,13
三國,父,11
三國,母,10
三國,子,8
三國,兄,3
三國,第二任妻,3
三國,妹,2
三國,兄弟,1
三國,弟,1
三國,第一任妻,1
三國,姊,1
三國,妾,1
三國,第三任妻,1
三國,第一任丈夫,1
三國,第二任丈夫,1
三國,姊妹,1
三國,第三任丈夫,1
西晉,丈夫,19
西晉,妻子,13
西晉,父,10
西晉,女兒,10
西晉,母,8
西晉,子,8
西晉,妾,3
西晉,第二任妻,2
西晉,兄弟之妻,2
西晉,夫之兄弟,2
西晉,曾祖,1
西晉,兄弟,1
西晉,兄,1
西晉,第一任妻,1
西晉,妹,1
西晉,過繼的嗣子,1
西晉,曾孫女,1
西晉,姊妹,1
西晉,嗣母,1
西晉,伯叔母,1
西晉,夫之從子,1
東晉,丈夫,16
東晉,妻子,13
東晉,父,6
東晉,母,6
東晉,女兒,6
東晉,子,6
東晉,姊,2
東晉,妾,2
東晉,妹,2
東晉,同族長輩,1
東晉,兄,1
東晉,弟,1
東晉,從弟,1
東晉,第二任妻,1
東晉,同族晚輩,1
東晉,從女;姪女,1
東晉,未婚妻,1
東晉,未婚夫,1
東晉,從姊,1
東晉,叔;叔父,1
南北朝,丈夫,76
南北朝,妻子,72
南北朝,女兒,22
南北朝,父,21
南北朝,子,19
南北朝,母,18
南北朝,妹,11
南北朝,姊,8
南北朝,兄,5
南北朝,妾,5
南北朝,弟,4
南北朝,子婦;兒媳,2
南北朝,祖父,1
南北朝,外甥,1
南北朝,繼子,1
南北朝,孫女,1
南北朝,未婚妻,1
南北朝,未婚夫,1
