dynasty,address,count,hhi_index
先秦,隴西,5,0.0432
先秦,北芒山,4,0.0432
先秦,河南,3,0.0432
先秦,太原,3,0.0432
先秦,洛陽,2,0.0432
先秦,渤海,2,0.0432
先秦,清河,2,0.0432
先秦,京兆府,2,0.0432
先秦,聞喜,2,0.0432
先秦,芒山,2,0.0432
東漢,洛陽,2,0.555556
東漢,興平,1,0.555556
三國,吳縣,1,1.0
南北朝,越州,2,0.375
南北朝,臨沂,1,0.375
南北朝,相州,1,0.375
隋,白水,3,0.140496
隋,狄道,1,0.140496
隋,文水,1,0.140496
隋,始平,1,0.140496
隋,萬年,1,0.140496
隋,平陵,1,0.140496
隋,三原,1,0.140496
隋,京兆府,1,0.140496
隋,相州,1,0.140496
唐,河南,134,0.040888
唐,洛陽,95,0.040888
唐,萬年,84,0.040888
唐,長安,63,0.040888
唐,京兆府,35,0.040888
唐,太原,30,0.040888
唐,河南府,29,0.040888
唐,隴西,28,0.040888
唐,偃師,25,0.040888
唐,芒山,22,0.040888
五代十國,河南,6,0.075918
五代十國,潞州,4,0.075918
五代十國,洛陽,4,0.075918
五代十國,開封,2,0.075918
五代十國,平恩,2,0.075918
五代十國,開封府,1,0.075918
五代十國,金華,1,0.075918
五代十國,建安,1,0.075918
五代十國,長安,1,0.075918
五代十國,福唐,1,0.075918
南宋,開封,100,0.020728
南宋,上黨,40,0.020728
南宋,洛陽,33,0.020728
南宋,潞州,24,0.020728
南宋,鄞縣,23,0.020728
南宋,麗水,19,0.020728
南宋,錢塘,18,0.020728
南宋,金華,18,0.020728
南宋,臨川,16,0.020728
南宋,開封府,15,0.020728
遼,臨潢府,40,0.765595
遼,玉田,4,0.765595
遼,臨潢,2,0.765595
金,秀容,2,0.097222
金,范陽,1,0.097222
金,南鄭,1,0.097222
金,河曲,1,0.097222
金,易縣,1,0.097222
金,玉田,1,0.097222
金,平定,1,0.097222
金,五臺,1,0.097222
金,登封,1,0.097222
金,蓋州,1,0.097222
元,義烏,34,0.018575
元,浦江,29,0.018575
元,東陽,23,0.018575
元,金華,19,0.018575
元,金谿,11,0.018575
元,縉雲,10,0.018575
元,蘭溪州,9,0.018575
元,錢塘,8,0.018575
元,崑山州,7,0.018575
元,貴溪,7,0.018575
明,南京,109,0.024954
明,海鹽,85,0.024954
明,固始,83,0.024954
明,會稽,46,0.024954
明,山陰,43,0.024954
明,蘇州府,33,0.024954
明,信陽,33,0.024954
明,內鄉,33,0.024954
明,上虞,29,0.024954
明,武進,27,0.024954
清,海鹽,274,0.016088
清,山陰,235,0.016088
清,蘇州府,232,0.016088
清,杭州府,209,0.016088
清,會稽,186,0.016088
清,吳江,173,0.016088
清,蕭山,144,0.016088
清,唐縣,141,0.016088
清,歙縣,131,0.016088
清,上海,107,0.016088
未知,長洲,2,0.043367
未知,吳縣,2,0.043367
未知,長興,2,0.043367
未知,仁和,1,0.043367
未知,揚州府,1,0.043367
未知,南京,1,0.043367
未知,永春,1,0.043367
未知,泰和,1,0.043367
未知,蘇州府,1,0.043367
未知,東陽,1,0.043367
其他,旌德,3,0.102222
其他,桐城,2,0.102222
其他,金匱,1,0.102222
其他,華陽,1,0.102222
其他,臨海,1,0.102222
其他,丹徒,1,0.102222
其他,湘鄉,1,0.102222
其他,衡陽,1,0.102222
其他,蕭山,1,0.102222
其他,石門,1,0.102222
