dynasty,status_type,count,shannon_diversity
東漢,empress,3,0.0
三國,wife,1,0.6931
三國,mother,1,0.6931
隋,imperial palace service,1,1.3863
隋,wife,1,1.3863
隋,mother,1,1.3863
隋,empress,1,1.3863
唐,詩人,106,2.0988
唐,wife,39,2.0988
唐,mother,38,2.0988
唐,empress,22,2.0988
唐,文人,19,2.0988
唐,imperial consort,10,2.0988
唐,工於文,8,2.0988
唐,書法家,5,2.0988
唐,道士,5,2.0988
唐,未婚而卒,3,2.0988
唐,在室女,3,2.0988
唐,妓,3,2.0988
唐,比丘尼,2,2.0988
唐,道姑(女冠),2,2.0988
唐,僧人,2,2.0988
唐,外戚,2,2.0988
唐,精於劍術,2,2.0988
唐,士人,1,2.0988
唐,貞婦,1,2.0988
唐,emperor,1,2.0988
唐,畫家,1,2.0988
唐,outer noblewoman,1,2.0988
五代十國,wife,6,1.9116
五代十國,mother,6,1.9116
五代十國,詩人,5,1.9116
五代十國,outer noblewoman,4,1.9116
五代十國,比丘尼,3,1.9116
五代十國,僧人,2,1.9116
五代十國,孝子/孝女,1,1.9116
五代十國,empress,1,1.9116
南宋,outer noblewoman,454,1.8025
南宋,mother,415,1.8025
南宋,wife,411,1.8025
南宋,inner noblewoman,25,1.8025
南宋,貞婦,25,1.8025
南宋,詩人,17,1.8025
南宋,外戚,14,1.8025
南宋,妓,13,1.8025
南宋,宗室女,11,1.8025
南宋,imperial consort,9,1.8025
南宋,僧人,9,1.8025
南宋,道姑(女冠),7,1.8025
南宋,比丘尼,7,1.8025
南宋,empress,6,1.8025
南宋,富豪,5,1.8025
南宋,孝子/孝女,5,1.8025
南宋,士人,5,1.8025
南宋,早卒(未成年而卒),5,1.8025
南宋,imperial palace service,4,1.8025
南宋,畫家,4,1.8025
南宋,未婚而卒,4,1.8025
南宋,妾,4,1.8025
南宋,詞人,3,1.8025
南宋,書法家,3,1.8025
南宋,死國難,3,1.8025
南宋,宗子,2,1.8025
南宋,農民,2,1.8025
南宋,civil office,2,1.8025
南宋,理學家,2,1.8025
南宋,工於作賦,2,1.8025
南宋,好學,1,1.8025
南宋,胥吏,1,1.8025
南宋,military,1,1.8025
南宋,侍女,1,1.8025
南宋,好金石,1,1.8025
南宋,在室女,1,1.8025
南宋,官伎,1,1.8025
南宋,工於文,1,1.8025
南宋,音樂學家,1,1.8025
南宋,武將,1,1.8025
南宋,經學家—左傳,1,1.8025
南宋,為善鄉里,1,1.8025
南宋,遺民,1,1.8025
遼,imperial consort,1,0.6931
遼,詞人,1,0.6931
金,wife,6,1.5684
金,mother,6,1.5684
金,早卒(未成年而卒),1,1.5684
金,未婚而卒,1,1.5684
金,富豪,1,1.5684
金,outer noblewoman,1,1.5684
金,妓,1,1.5684
元,wife,63,1.9771
元,貞婦,63,1.9771
元,mother,61,1.9771
元,孝子/孝女,9,1.9771
元,詩人,7,1.9771
元,妾,6,1.9771
元,死國難,3,1.9771
元,妓,3,1.9771
元,outer noblewoman,2,1.9771
元,比丘尼,2,1.9771
元,道姑(女冠),2,1.9771
元,早卒(未成年而卒),2,1.9771
元,工於文,2,1.9771
元,家塾師,2,1.9771
元,未婚而卒,1,1.9771
元,農民,1,1.9771
元,未仕而卒,1,1.9771
元,未參加科舉而卒,1,1.9771
元,inner noblewoman,1,1.9771
元,道士,1,1.9771
元,義門,1,1.9771
元,官伎,1,1.9771
元,精於某種樂器,1,1.9771
元,地方士人/鄉紳,1,1.9771
元,好學,1,1.9771
明,貞婦,427,1.1695
明,畫家,31,1.1695
明,wife,21,1.1695
明,mother,19,1.1695
明,詩人,12,1.1695
明,孝子/孝女,11,1.1695
明,死國難,11,1.1695
明,佛教之俗家弟子,3,1.1695
明,工於文,3,1.1695
明,比丘尼,3,1.1695
明,士人,2,1.1695
明,諸宮調與散曲集作家,2,1.1695
明,imperial consort,2,1.1695
明,empress,2,1.1695
明,為善鄉里,2,1.1695
明,義民/義官,2,1.1695
明,書法家,1,1.1695
明,好學,1,1.1695
明,妾,1,1.1695
明,堪輿家風水師,1,1.1695
明,醫生,1,1.1695
明,outer noblewoman,1,1.1695
明,student: linyuan,1,1.1695
明,精通詩(詞曲)之聲韻音律,1,1.1695
明,工於古文,1,1.1695
明,僧人,1,1.1695
明,博學之人,1,1.1695
清,貞婦,1589,1.1811
清,畫家,116,1.1811
清,詩人,109,1.1811
清,孝子/孝女,82,1.1811
清,wife,48,1.1811
清,mother,46,1.1811
清,死國難,24,1.1811
清,書法家,10,1.1811
清,戲曲作家,8,1.1811
清,農民,8,1.1811
清,詞人,7,1.1811
清,工於文,5,1.1811
清,義民/義官,5,1.1811
清,為善鄉里,5,1.1811
清,未婚而卒,4,1.1811
清,betrothed maiden fiancé,4,1.1811
清,佛教之俗家弟子,4,1.1811
清,武藝,3,1.1811
清,精於某種樂器,3,1.1811
清,父老;耆老,3,1.1811
清,工於古文,2,1.1811
清,小學家,2,1.1811
清,史學家,2,1.1811
清,道士,2,1.1811
清,outer noblewoman,2,1.1811
清,行醫,2,1.1811
清,士人,1,1.1811
清,經學家—漢學,1,1.1811
清,經學家—詩經,1,1.1811
清,Bordered Yellow Banner,1,1.1811
清,收徒講學,1,1.1811
清,Plain Yellow Banner,1,1.1811
清,Plain White Banner,1,1.1811
清,精於騎射,1,1.1811
清,經學家—春秋,1,1.1811
清,student: linyuan,1,1.1811
清,醫學,1,1.1811
清,長於制舉之文,1,1.1811
清,博學之人,1,1.1811
清,圍棋棋手,1,1.1811
清,戲曲理論家,1,1.1811
清,道姑(女冠),1,1.1811
清,相面相手者,1,1.1811
清,文人,1,1.1811
清,食素,1,1.1811
清,[Unknown],1,1.1811
清,以疾廢,1,1.1811
未知,outer noblewoman,3,1.4942
未知,不求仕,2,1.4942
未知,畫家,1,1.4942
未知,貞婦,1,1.4942
未知,僧人,1,1.4942
其他,詞人,1,1.3863
其他,教育家,1,1.3863
其他,通曉外語,1,1.3863
其他,詩人,1,1.3863
