dynasty,addr_chn,count,avg_lat,median_lat
宋,開封,337,34.785477,34.785477
宋,吳縣,162,31.31271,31.31271
宋,洛陽,126,34.665276,34.665276
宋,錢塘,94,30.294125,30.294125
宋,鄞縣,61,29.866316,29.866316
宋,臨安府,52,30.294125,30.294125
宋,金華,52,29.104712,29.104712
宋,烏程,45,30.864964,30.864964
宋,臨海,43,28.843132,28.843132
宋,丹徒,37,32.206489563,32.206489563
宋,廬陵,37,27.103239,27.103239
宋,莆田,35,25.433954,25.433954
宋,常熟,33,31.646582,31.646582
宋,侯官,28,26.073953999999997,26.073954
宋,晉江,28,24.909641,24.909641
宋,臨川,28,27.984781,27.984781
宋,長洲,28,31.31271,31.31271
宋,閩縣,28,26.073953999999997,26.073954
宋,永嘉,27,28.018291,28.018291
宋,丹陽,26,31.995802,31.995802
宋,崑山,26,31.386108398,31.386108398
宋,會稽,26,30.004515,30.004515
宋,武進,25,31.782784000000003,31.782784
宋,江寧,25,32.052563,32.052563
宋,開封府,24,34.785477,34.785477
宋,嘉興,23,30.767469000000002,30.767469
宋,浦城,23,27.924686,27.924686
宋,福清,22,25.727917,25.727917
宋,須城,22,35.956072,35.956072
宋,山陰,21,30.004515,30.004515
宋,長安,21,34.246423,34.246423
宋,長樂,21,25.670168999999998,25.959837
宋,宜興,20,31.363638,31.363638
宋,安陽,18,36.098343,36.098343
宋,清江,18,28.015566,28.015566
宋,長社,18,34.031391,34.031391
宋,天台,17,29.138258,29.138258
宋,宛邱,16,33.73398,33.73398
宋,建安,16,27.038864,27.038864
宋,歸安,16,30.864964,30.864964
宋,陽曲,16,38.08202,38.08202
宋,餘姚,16,30.049067,30.049067
宋,餘杭,16,30.27177,30.27177
宋,宋城,15,34.447662,34.447662
宋,建陽,15,27.33988,27.33988
宋,汝陽,15,33.007538,33.007538
宋,江都,15,32.39127,32.39127
宋,華亭,15,31.009476,31.009476
宋,雍邱,15,34.49547,34.49547
宋,黃巖,15,28.642613,28.642613
宋,上虞,14,29.952654,29.952654
宋,仙遊,14,25.364557266,25.364557266
宋,奉化,14,29.651657,29.651657
宋,華陽,14,30.650385,30.650385
宋,鎮江府,14,32.20649,32.20649
宋,長溪,14,26.883463,26.883463
宋,上饒,13,28.450691,28.450691
宋,上黨,13,36.183537,36.183537
宋,平江府,13,31.31271,31.31271
宋,成都,13,30.650385000000004,30.650385
宋,樂清,13,28.130676,28.130676
宋,歙縣,13,29.86577,29.86577
宋,歷陽,13,31.714224,31.714224
宋,眉山,13,30.050497,30.050497
宋,紹興府,13,30.004515,30.004515
宋,邵武,13,27.337692,27.337692
宋,金壇,13,31.746978759999998,31.74697876
宋,鉅野,13,35.396209717,35.396209717
宋,懷安,12,26.093738556,26.093738556
宋,武義,12,28.895449,28.895449
宋,永福,12,25.867622,25.867622
宋,海鹽,12,30.517859,30.517859
宋,福州,12,26.073954,26.073954
宋,管城,12,34.758076,34.758076
宋,衢州,12,28.956821441999995,28.956821442
宋,吉水,11,27.214366999999996,27.214367
宋,吳江,11,31.167065,31.167065
宋,婺源,11,29.244728,29.244728
宋,崇安,11,27.756025,27.756025
宋,新淦,11,27.759735,27.759735
宋,東陽,11,29.260567,29.260567
宋,浦江,11,29.458708,29.458708
宋,海陵,11,32.495872,32.495872
宋,溧陽,11,31.430706,31.430706
宋,連江,11,26.198015,26.198015
宋,龍泉,11,28.082565,28.082565
宋,南豐,10,27.214306,27.214306
宋,宣城,10,30.946941,30.946941
宋,江陵,10,30.350445,30.350445
宋,湖州,10,30.864963531,30.864963531
宋,鉛山,10,28.208446,28.208446
宋,長沙,10,28.198198,28.198198
宋,長興,10,31.013893000000003,31.013893
宋,麗水,10,28.448732,28.448732
宋,仙居,9,29.210671555555557,28.852207
宋,台州,9,28.843132019000002,28.843132019
宋,崇德,9,30.530447,30.530447
宋,明州,9,29.866315842,29.866315842
宋,星子,9,29.453486000000005,29.453486
宋,楚丘,9,34.704596,34.704596
宋,樂平,9,28.964994000000004,28.964994
宋,歷城,9,36.650131226,36.650131226
宋,江山,9,28.735312000000004,28.735312
宋,蘭溪,9,29.204453,29.204453
宋,諸暨,9,29.713137,29.713137
宋,豐城,9,28.197754,28.197754
宋,休寧,8,29.781190872,29.781190872
宋,偃師,8,34.720623,34.720623
宋,南城,8,27.559717,27.559717
宋,建德,8,29.544481,29.544481
宋,弋陽,8,28.401876,28.401876
宋,德清,8,30.553133,30.553133
宋,新喻,8,27.804075,27.804075
宋,朐山,8,34.582213,34.582213
宋,衡山,8,27.245646,27.245646
宋,都昌,8,29.272564,29.272564
宋,青神,8,29.837276,29.837276
宋,下蔡,7,32.705585,32.705585
宋,元城,7,36.275528,36.275528
宋,南昌,7,28.674896,28.674896
宋,合肥,7,31.864456,31.864456
宋,宜春,7,27.791904,27.791904
宋,建康府,7,32.052563,32.052563
宋,新建,7,28.674896,28.674896
宋,新鄭,7,34.397324,34.397324
宋,永安,7,34.69323,34.69323
宋,河南府,7,34.665275574,34.665275574
宋,潤州,7,32.206489563,32.206489563
宋,無錫,7,31.574614,31.574614
宋,益都,7,36.69748,36.69748
宋,義烏,7,29.300087,29.300087
宋,臨安,7,30.318827,30.318827
宋,莘縣,7,36.236708,36.236708
宋,衡陽,7,26.901617000000005,26.901617
宋,西安,7,28.956821,28.956821
宋,陳留,7,34.673195,34.673195
宋,高安,7,28.425598,28.425598
宋,仁壽,6,30.004446,30.004446
宋,任城,6,35.410431,35.410431
宋,信州,6,28.450691222999996,28.450691223
宋,劍浦,6,26.642174,26.642174
宋,平陽,6,27.675718,27.675718
宋,徽州,6,29.86577,29.86577
宋,成紀,6,34.5853,34.5853
宋,揚州,6,32.39127,32.39127
宋,武康,6,30.550453,30.550453
宋,永康,6,28.897268,28.897268
宋,江州,6,29.722364426,29.722364426
宋,江陰,6,31.90877,31.90877
宋,洪州,6,28.67489624,28.67489624
宋,溫州,6,28.018291473,28.018291473
宋,綿竹,6,31.342484,31.342484
宋,華陰,6,34.56831,34.56831
宋,蒲江,6,30.214197,30.214197
宋,蕭山,6,30.161488000000002,30.161488
宋,蘇州,6,31.312709808000005,31.312709808
宋,貴池,6,30.654661,30.654661
宋,進賢,6,28.364485,28.364485
宋,鄄城,6,35.61019,35.61019
宋,青田,6,28.143874999999998,28.143875
宋,餘干,6,28.691545,28.691545
宋,[未詳],5,,
宋,北海,5,36.702705,36.702705
宋,嚴州,5,29.544481,29.544481
宋,婺州,5,29.104711533,29.104711533
宋,安吉,5,30.744599,30.744599
宋,安陸,5,31.263714,31.263714
宋,山陽,5,33.502789,33.502789
宋,常山,5,28.908663999999998,28.903732
宋,平棘,5,37.752926,37.752926
宋,慈溪,5,29.979194999999997,29.979195
宋,揚子,5,32.267544,32.267544
宋,昌國,5,30.01516,30.01516
宋,杭州,5,30.294124603,30.294124603
宋,東明,5,34.92438,34.92438
宋,松陽,5,28.450747999999997,28.450748
宋,永豐,5,27.545385800000002,27.322115
宋,江寧府,5,32.052563,32.052563
宋,河內,5,35.089302,35.089302
宋,泰州,5,32.495872,32.495872
宋,浚儀,5,34.785477,34.785477
宋,濟源,5,35.092437744,35.092437744
宋,濟陰,5,34.990951,34.990951
宋,瑞安,5,27.790512,27.790512
宋,甌寧,5,27.038864136,27.038864136
宋,真定,5,38.14011,38.14011
宋,祥符,5,34.785477,34.785477
宋,秀州,5,30.767469,30.767469
宋,處州,5,28.448732376,28.448732376
宋,襄陽,5,32.026524,32.026524
宋,郪縣,5,31.09462,31.09462
宋,鄱陽,5,28.994166999999997,28.994167
宋,陽翟,5,34.162491,34.162491
宋,饒州,5,28.994167327999996,28.994167328
宋,上元,4,32.052563,32.052563
宋,上蔡,4,33.264837,33.264837
宋,分寧,4,29.038708,29.038708
宋,南安,4,24.953764,24.953764
宋,博平,4,36.628897,36.628897
宋,古田,4,26.60171,26.60171
宋,吉州,4,27.103239059,27.103239059
宋,大名,4,36.24564,36.24564
宋,始興,4,30.18062225,24.945763
宋,安福,4,27.382462,27.382462
宋,將樂,4,26.720821,26.720821
宋,崞縣,4,38.88332,38.88332
宋,嵊縣,4,29.58749,29.58749
宋,德安,4,29.330564,29.330564
宋,德興,4,28.953411,28.953411
宋,懷寧,4,30.630346,30.630346
宋,成都府,4,30.650384903,30.650384903
宋,晉原,4,30.636564,30.636564
宋,東光,4,37.884556,37.884556
宋,桐城,4,31.05228,31.05228
宋,桐廬,4,29.802457809,29.802457809
宋,永興,4,28.906081,29.83013
宋,池州,4,30.654661179,30.654661179
宋,河陽,4,34.840869,34.840869
宋,泉州,4,24.909641266,24.909641266
宋,浮梁,4,29.382742,29.382742
宋,溧水,4,31.656557,31.656557
宋,玉山,4,28.679602,28.679602
宋,番禺,4,23.134624,23.134624
宋,眉州,4,30.05050087,30.05050087
宋,羅源,4,26.490908,26.490908
宋,膚施,4,36.591808,36.591808
宋,蘄春,4,30.30481,30.30481
宋,襄邑,4,34.430504,34.430504
宋,譙縣,4,33.879292,33.879292
宋,贛縣,4,25.847,25.847
宋,越州,4,30.004514694,30.004514694
宋,通川,4,31.226969,31.226969
宋,遂安,4,29.480773,29.480773
宋,郫縣,4,30.807074,30.807074
宋,鄭縣,4,34.519627,34.519627
宋,金谿,4,27.910084,27.910084
宋,雙流,4,30.579893,30.579893
宋,靈壽,4,38.30547,38.30547
宋,靜海,4,32.010471,32.010471
宋,順昌,4,26.797091,26.797091
宋,高郵,4,32.79071,32.79071
宋,龍溪,4,24.511744,24.511744
宋,井研,3,29.658509999999996,29.65851
宋,京山,3,31.024815,31.024815
宋,亳州,3,33.879291534,33.879291534
宋,信都,3,37.565983,37.565983
宋,共城,3,35.458675,35.458675
宋,南充,3,30.819111000000003,30.819111
宋,南劍州,3,26.642173767,26.642173767
宋,合州,3,30.00394,30.00394
宋,同安,3,24.736046,24.736046
宋,壽光,3,36.879799,36.879799
宋,夏縣,3,35.137451,35.137451
宋,大興,3,39.931427002,39.931427002
宋,太和,3,26.792103,26.792103
宋,太平,3,30.298552,30.298552
宋,奉新,3,28.70723,28.70723
宋,定陶,3,35.089468,35.089468
宋,密州,3,35.993354797,35.993354797
宋,峨眉,3,29.60173,29.60173
宋,崇仁,3,27.75564,27.75564
宋,常州,3,31.782783508000005,31.782783508
宋,建昌,3,29.087832000000002,29.087832
宋,建昌軍,3,27.559716999999996,27.559717
宋,彭城,3,34.269634,34.269634
宋,彭山,3,30.200752000000005,30.200752
宋,徐州,3,39.019436,39.019436
宋,惠州,3,23.089792,23.089792
宋,成武,3,34.962231,34.962231
宋,新州,3,22.702915191999995,22.702915192
宋,新昌,3,29.494654,29.494654
宋,析津,3,39.91423,39.91423
宋,永新,3,26.945564,26.945564
宋,汀州,3,25.833381653,25.833381653
宋,汝陰,3,32.903057,32.903057
宋,河中府,3,34.835129,34.835129
宋,泗州,3,33.023403168,33.023403168
宋,海州,3,34.582214355,34.582214355
宋,涇縣,3,30.68671,30.68671
宋,湖口,3,29.734993,29.734993
宋,漳州,3,24.511744000000004,24.511744
宋,潞州,3,36.183537,36.183537
宋,潭州,3,28.198198,28.198198
宋,熙州,3,35.379146576,35.379146576
宋,獲鹿,3,38.083111,38.083111
宋,當塗,3,31.555685,31.555685
宋,禹城,3,36.94436,36.94436
宋,筠州,3,28.425597999999997,28.425598
宋,聞喜,3,35.357723,35.357723
宋,臨清,3,36.858692,36.858692
宋,臨邛,3,30.41659,30.41659
宋,華北平原/中原,3,,
宋,葉縣,3,33.500148,33.500148
宋,虞城,3,34.510823,34.510823
宋,襄城,3,33.853691,33.853691
宋,貴溪,3,28.287901,28.287901
宋,贛州,3,25.846999999999998,25.847
宋,遂寧,3,30.194462,30.194462
宋,郿縣,3,34.478271,34.478271
宋,鄂州,3,30.573669434,30.573669434
宋,金鄉,3,35.068165,35.068165
宋,釜陽,3,36.359043,36.359043
宋,長垣,3,35.147162,35.147162
宋,長汀,3,25.833381653,25.833381653
宋,長葛,3,34.229904,34.229904
宋,閩清,3,26.213224,26.213224
宋,閬中,3,31.583160000000003,31.58316
宋,青州,3,36.69748,36.69748
宋,韋城,3,35.418397,35.418397
宋,魚陽,3,40.20562,40.20562
宋,鹽官,3,30.40628,30.40628
宋,黃岡,3,30.446986999999996,30.446987
宋,黃州,3,30.446989059,30.446989059
宋,三水,2,35.190163,35.190163
宋,中江,2,31.044277,31.044277
宋,仁和,2,30.294125,30.294125
宋,保昌,2,25.118843,25.118843
宋,修武,2,35.231197,35.231197
宋,南康軍,2,29.453486,29.453486
宋,南鄭,2,33.076485,33.076485
宋,南陽,2,33.001678,33.001678
宋,句容,2,31.946535,31.946535
宋,同谷,2,33.7434,33.7434
宋,名山,2,30.094233,30.094233
宋,和州,2,31.714223862,31.714223862
宋,咸平,2,34.475006,34.475006
宋,商河,2,37.308677673,37.308677673
宋,壽昌,2,29.369589,29.369589
宋,天興,2,34.522518,34.522518
宋,如皋,2,32.384022,32.384022
宋,安仁,2,28.40443,28.40443
宋,安岳,2,30.112699509,30.112699509
宋,安平,2,38.230526,38.230526
宋,安豐,2,32.334127,32.334127
宋,安邱,2,36.42905,36.42905
宋,定州,2,38.520061,38.520061
宋,定海,2,29.953701,29.953701
宋,宜賓,2,28.774831772,28.774831772
宋,宜黃,2,27.546391,27.546391
宋,宣化軍,2,,
宋,寧化,2,38.642059,38.642059
宋,寧國府,2,30.946941,30.946941
宋,寧浦,2,22.6792,22.6792
宋,寧海,2,29.283617,29.283617
宋,尉氏,2,34.413452148,34.413452148
宋,小溪,2,30.503918,30.503918
宋,岳州,2,29.371259689,29.371259689
宋,巴陵,2,29.37126,29.37126
宋,平江,2,28.709812,28.709812
宋,幽州,2,39.8768,39.8768
宋,廬江,2,31.253363,31.253363
宋,延州,2,36.591808319,36.591808319
宋,延陵,2,31.882374,31.882374
宋,建寧府,2,27.038864,27.038864
宋,德順軍,2,35.617,35.617
宋,懷安軍,2,30.722631454,30.722631454
宋,新平,2,35.039658,35.039658
宋,新鄉,2,35.309940338,35.309940338
宋,晉城,2,35.504318,35.504318
宋,東莞,2,22.545151,22.545151
宋,武昌,2,30.402718,30.402718
宋,武邑,2,37.805992,37.805992
宋,武陵,2,29.034807,29.034807
宋,永城,2,33.93945694,33.93945694
宋,永州,2,26.210338593,26.210338593
宋,永年,2,36.701031,36.701031
宋,江陰軍,2,31.90877,31.90877
宋,江陵府,2,30.350445,30.350445
宋,河南,2,34.665276,34.665276
宋,河東,2,34.835129,34.835129
宋,河清,2,34.934486,34.934486
宋,河間,2,38.435699,38.435699
宋,泌陽,2,32.697708,32.697708
宋,泗水,2,35.6597,35.6597
宋,洪雅,2,29.911529,29.911529
宋,洺州,2,36.701031,36.701031
