dynasty,addr_chn,region,count,x_coord,y_coord
宋,開封,北,1812,114.34333,34.785477
宋,莆田,南,1749,119.011101,25.433954000000004
宋,閩縣,南,1396,119.32157699999999,26.073953999999997
宋,晉江,南,1223,118.58990500000002,24.909641
宋,鄞縣,南,1089,121.54265600000001,29.866316
宋,永嘉,南,829,120.65322099999999,28.018291
宋,福州,南,816,119.321577,26.073954000000004
宋,建安,南,645,118.32378400000002,27.038864
宋,廬陵,南,608,114.97127499999999,27.103239000000002
宋,洛陽,北,598,112.38263000000002,34.665276
宋,臨川,南,592,116.351341,27.984781
宋,武進,南,583,119.952301,31.782784
宋,平陽,南,579,120.47529678756477,27.655679160621762
宋,吳縣,南,570,120.61862199999999,31.31271
宋,侯官,南,531,119.321577,26.073954
宋,臨海,南,511,121.120598,28.843132
宋,仙遊,南,508,118.68367004,25.364557266
宋,金華,南,507,119.649918,29.104712
宋,南城,南,499,116.627449,27.559717
宋,錢塘,南,499,120.168625,30.294124999999998
宋,長樂,南,437,119.46726264759725,25.93199705491991
宋,遂寧,南,433,105.812285,30.194462
宋,龍溪,南,409,117.653053,24.511744
宋,麗水,南,385,119.913009,28.448732
宋,福清,南,384,119.381439,25.727917
宋,長溪,南,379,119.990395,26.883463
宋,甌寧,南,364,118.32378387,27.038864136
宋,德興,南,362,117.58011600000002,28.953411
宋,婺源,南,336,117.84458900000001,29.244728
宋,龍泉,南,336,118.24181495238095,27.74833985714286
宋,吉水,南,330,115.13224800000002,27.214366999999996
宋,歸安,南,330,120.09931200000001,30.864964
宋,瑞安,南,327,120.63069099999998,27.790511999999996
宋,劍浦,南,326,118.169182,26.642173999999997
宋,邵武,南,314,117.48339800000001,27.337692000000004
宋,東陽,南,310,120.227981,29.260567
宋,嘉興,南,305,120.753204,30.767469000000002
宋,義烏,南,301,120.071625,29.300087
宋,黃巖,南,292,121.258354,28.642613
宋,奉化,南,291,121.406906,29.651656999999997
宋,臨安府,南,288,120.10839474444444,30.27096675300695
宋,崇安,南,277,118.026779,27.756025
宋,永福,南,273,118.54052346153846,25.828681516483517
宋,江陰,南,266,120.26609,31.908769999999997
宋,西安,南,266,118.867645,28.956821
宋,安岳,南,264,105.3245163,30.112699509
宋,懷安,南,262,119.22961426,26.093738556
宋,眉山,南,258,103.831459,30.050497
宋,豐城,南,248,115.78562877419354,28.19748435483871
宋,永康,南,241,120.025253,28.897268
宋,崑山,南,239,120.94823456,31.386108398
宋,山陰,南,234,120.57826199999998,30.004515
宋,常州,南,234,119.95230103,31.782783508
宋,仙居,南,233,120.49861071673818,28.976823433476397
宋,清江,南,231,115.34772836796537,28.035104467532467
宋,眉州,南,231,103.83145905,30.05050087
宋,餘姚,南,230,121.152763,30.049067
宋,南豐,南,225,116.52993,27.214306
宋,休寧,南,224,118.17577362,29.781190872
宋,樂平,南,224,117.124092,28.964994
宋,歙縣,南,220,118.433945,29.86577
宋,安福,南,216,114.608452,27.382462
宋,長安,北,216,108.906976,34.246423
宋,連江,南,215,119.53446899999999,26.198015
宋,開封府,北,214,114.34333000000001,34.785477
