dynasty,community_id,size,geocoded_members,mean_lon,mean_lat,geo_spread_deg,cross_region,representative_members
唐,0,1170,211,112.77,34.68,4.51,否,"白居易, 劉禹錫, 元稹, 賈島, 姚合"
唐,1,895,124,113.4,33.93,5.12,是,"釋皎然, 劉長卿, 盧綸, 韋應物, 錢起"
唐,2,812,96,114.31,32.26,5.74,是,"釋貫休, 胡得生, 方干, 羅隱, 鄭谷"
唐,3,671,231,112.26,34.43,4.95,否,"張說, 李隆基(唐玄宗), 王維, 高適, 孟浩然"
唐,4,504,76,112.44,33.65,5.37,是,"張祜, 許渾, 李商隱, 杜牧, 溫庭筠"
唐,5,284,32,111.99,35.11,4.14,否,"杜甫, 岑參, 蘇源明, 盧照鄰, 王勃"
唐,6,170,23,113.34,33.98,4.44,否,"李白, 項斯, 張謂, 陸貞洞, 李華"
唐,7,129,21,114.38,32.94,5.6,是,"徐鉉, 李中, 李逢勳, 李璟, 李煜"
唐,8,83,43,113.17,33.28,5.52,是,"李世民(唐太宗), 許敬宗, 上官儀, 岑文本, 楊師道"
唐,9,77,16,111.95,34.76,4.04,否,"權德輿, 張建封, 羅讓, 韋況, 王太后(李湛母)"
北宋,0,915,821,115.92,32.16,4.9,否,"歐陽修, 王安石, 曾鞏, 宋祁, 張方平"
北宋,1,851,756,115.78,30.43,5.64,是,"周必大, 蘇軾, 黃庭堅, 樓鑰, 張耒"
北宋,2,658,613,116.98,29.95,5.08,是,"朱熹, 楊時, 鄒浩, 魏了翁, 李綱"
北宋,3,310,285,117.66,29.61,5.0,是,"陸游, 呂祖謙, 釋宗杲, 林光朝, 呂本中"
北宋,4,297,270,115.74,28.51,4.13,否,"楊萬里, 胡銓, 王庭珪, 張浚, 劉才邵"
北宋,5,256,227,114.59,33.19,5.01,是,"司馬光, 汪應辰, 畢仲游, 劉摯, 范純仁"
北宋,6,228,207,117.32,30.99,5.42,是,"孫覿, 汪藻, 葛勝仲, 呂頤浩, 張守"
北宋,7,198,126,113.69,34.34,3.5,否,"范祖禹, 鄭穆, 陳知儉, 程嗣弼, 李兌"
北宋,8,181,160,118.01,29.61,4.18,否,"陸佃, 劉弇, 華鎮, 黃裳, 洪适"
北宋,9,159,146,116.58,32.79,4.82,否,"晁補之, 晁說之, 陳傅良, 宋綬, 劉羲仲"
南宋,0,771,718,117.51,28.86,4.48,否,"朱熹, 呂祖謙, 張栻, 陳傅良, 周必大"
南宋,1,385,356,118.22,27.2,3.83,否,"劉克莊, 方大琮, 林希逸, 蘇軾, 王邁"
南宋,2,333,306,111.88,29.98,7.47,是,"魏了翁, 洪咨夔, 高斯得, 吳泳, 吳泳"
南宋,3,258,234,118.98,29.45,3.53,否,"陸九淵, 袁燮, 袁甫, 楊簡, 包恢"
南宋,4,257,241,118.91,30.23,4.43,否,"樓鑰, 孫應時, 黃庭堅, 羅願, 史浩"
南宋,5,245,214,116.9,29.09,4.36,否,"文天祥, 姚勉, 黃震, 何夢桂, 方逢辰"
南宋,6,208,193,119.7,28.99,3.12,否,"葉適, 周南, 陳耆卿, 廖行之, 王柟"
南宋,7,184,173,118.06,27.96,3.59,否,"真德秀, 黃榦, 陳宓, 衛涇, 楊億"
南宋,8,149,140,119.29,30.52,2.81,否,"劉宰, 杜範, 戴栩, 周孚, 張九成"
南宋,9,142,127,117.05,29.1,4.94,否,"楊萬里, 陸游, 張孝祥, 釋居簡, 黃仲元"
明,0,1225,1183,116.91,30.95,5.53,是,"呂柟, 徐階, 王維楨, 王守仁, 歐陽德"
明,1,1020,965,117.33,30.97,5.23,是,"黃承玄, 鄒元標, 葉向高, 湯顯祖, 趙南星"
明,2,905,871,116.93,30.74,5.56,是,"李東陽, 程敏政, 林俊, 楊廉, 章懋"
明,3,816,791,116.92,31.53,5.47,是,"王世貞, 申時行, 李維楨, 屠隆, 張居正"
明,4,727,658,118.63,30.34,4.39,否,"宋濂, 王逢, 危素, 戴良, 王褘"
明,5,277,268,118.2,31.19,4.56,否,"馮夢禎, 黃汝亨, 朱長春, 敖文禎, 何三畏"
明,6,265,258,116.76,29.63,4.81,否,"王直, 楊寓, 楊榮, 張璧, 金善"
明,7,186,149,117.21,30.42,4.75,否,"袁宏道, 焦竑, 龍膺, 袁中道, 陶望齡"
明,8,72,72,117.14,28.8,5.3,是,"駱問禮, 黃鳳翔, 唐文燦, 支大綸, 史桂芳"
明,9,28,27,115.61,30.55,4.72,否,"梁寅, 李延興, 吳皋, 鄧雅, 鄒浩"
