dynasty,grid_lon,grid_lat,label,count,share
五代,105,30,"105-110E, 30-35N",24,0.25
五代,115,35,"115-120E, 35-40N",23,0.239583
五代,110,30,"110-115E, 30-35N",17,0.177083
五代,110,35,"110-115E, 35-40N",14,0.145833
五代,115,30,"115-120E, 30-35N",6,0.0625
五代,110,25,"110-115E, 25-30N",5,0.052083
五代,115,40,"115-120E, 40-45N",2,0.020833
五代,120,30,"120-125E, 30-35N",2,0.020833
五代,120,25,"120-125E, 25-30N",2,0.020833
五代,115,25,"115-120E, 25-30N",1,0.010417
元,115,25,"115-120E, 25-30N",4826,0.346995
元,120,30,"120-125E, 30-35N",2241,0.16113
元,120,25,"120-125E, 25-30N",1815,0.1305
元,110,35,"110-115E, 35-40N",1411,0.101452
元,115,35,"115-120E, 35-40N",970,0.069744
元,115,30,"115-120E, 30-35N",913,0.065646
元,110,25,"110-115E, 25-30N",640,0.046017
元,110,30,"110-115E, 30-35N",317,0.022793
元,105,30,"105-110E, 30-35N",306,0.022002
元,100,30,"100-105E, 30-35N",98,0.007046
元,100,20,"100-105E, 20-25N",97,0.006974
元,115,20,"115-120E, 20-25N",50,0.003595
元,105,25,"105-110E, 25-30N",36,0.002588
元,105,35,"105-110E, 35-40N",36,0.002588
元,120,40,"120-125E, 40-45N",35,0.002517
元,110,40,"110-115E, 40-45N",30,0.002157
元,110,20,"110-115E, 20-25N",24,0.001726
元,115,40,"115-120E, 40-45N",20,0.001438
元,100,35,"100-105E, 35-40N",19,0.001366
元,100,25,"100-105E, 25-30N",12,0.000863
元,105,20,"105-110E, 20-25N",5,0.00036
元,120,35,"120-125E, 35-40N",5,0.00036
元,85,40,"85-90E, 40-45N",2,0.000144
北宋,115,25,"115-120E, 25-30N",7680,0.235496
北宋,110,30,"110-115E, 30-35N",4623,0.141758
北宋,115,30,"115-120E, 30-35N",3980,0.122041
北宋,110,25,"110-115E, 25-30N",3717,0.113976
北宋,120,30,"120-125E, 30-35N",3387,0.103857
北宋,100,30,"100-105E, 30-35N",2985,0.091531
北宋,120,25,"120-125E, 25-30N",1895,0.058107
北宋,115,35,"115-120E, 35-40N",1506,0.046179
北宋,110,35,"110-115E, 35-40N",1347,0.041304
北宋,105,30,"105-110E, 30-35N",598,0.018337
北宋,115,20,"115-120E, 20-25N",425,0.013032
北宋,110,20,"110-115E, 20-25N",163,0.004998
北宋,100,25,"100-105E, 25-30N",156,0.004784
北宋,105,35,"105-110E, 35-40N",64,0.001962
北宋,105,25,"105-110E, 25-30N",42,0.001288
北宋,120,35,"120-125E, 35-40N",11,0.000337
北宋,110,40,"110-115E, 40-45N",11,0.000337
北宋,100,35,"100-105E, 35-40N",9,0.000276
北宋,115,40,"115-120E, 40-45N",6,0.000184
北宋,105,20,"105-110E, 20-25N",3,9.2e-05
北宋,100,20,"100-105E, 20-25N",1,3.1e-05
北宋,120,40,"120-125E, 40-45N",1,3.1e-05
