personid,name,dynasty,one_liner,bio_paragraph,word_count
3257,朱熹,宋,朱熹（1130-1200），宋人，建州人，為官者、教師：軍事教官、詩人。,朱熹，宋人，籍貫建州。生於1130年，卒於1200年。為官者、教師：軍事教官、詩人。一生主要活動於婺源、建州。與呂祖謙、真德秀、魏了翁、魏掞之、劉清之等人交遊唱和。,82
3767,蘇軾,宋,蘇軾（1036-1101），宋人，眉山人，書法家、史學家、博學之人。,蘇軾，宋人，籍貫眉山。生於1036年，卒於1101年。為書法家、史學家、博學之人。一生主要活動於開封、眉山、杭州、雅州、湖州。與黃庭堅、周必大、李之儀、陸游、釋惠洪等人交遊唱和。,89
7197,周必大,宋,周必大（1126-1204），宋人，廬陵人，宰執。,周必大，宋人，籍貫廬陵。生於1126年，卒於1204年。為宰執。一生主要活動於廬陵、平江府。與蘇軾、黃庭堅、歐陽修、向子諲、王庭珪等人交遊唱和。,72
3595,劉克莊,宋,劉克莊（1187-1269），宋人，莆田人，財政官員。,劉克莊，宋人，籍貫莆田。生於1187年，卒於1269年。為財政官員。一生主要活動於莆田。與真德秀、林希逸、蔡襄、蘇軾、方大琮等人交遊唱和。,69
1384,歐陽修,宋,歐陽修（1007-1072），宋人，新鄭人，史學家、博學之人、收藏家。,歐陽修，宋人，籍貫新鄭。生於1007年，卒於1072年。為史學家、博學之人、收藏家。一生主要活動於新鄭、廬陵。與周必大、蔡襄、尹洙、梅堯臣、蘇洵等人交遊唱和。,79
7111,黃庭堅,宋,黃庭堅（1045-1105），宋人，分寧人，書法家、詩人、史學家。,黃庭堅，宋人，籍貫分寧。生於1045年，卒於1105年。為書法家、詩人、史學家。一生主要活動於金華、分寧、宜州。與蘇軾、周必大、梁寅、李之儀、洪芻等人交遊唱和。,80
4001,魏了翁,宋,魏了翁（1178-1237），宋人，蒲江人，收徒講學、為官者、思想家。,魏了翁，宋人，籍貫蒲江。生於1178年，卒於1237年。為收徒講學、為官者、思想家。一生主要活動於蒲江、吳縣、長洲、平江府。與虞剛簡、朱熹、蘇軾、真德秀、安丙等人交遊唱和。,86
1762,王安石,宋,王安石（1021-1086），宋人，臨川人，書法家、畫家、詩人。,王安石，宋人，籍貫臨川。生於1021年，卒於1086年。為書法家、畫家、詩人。一生主要活動於臨川、江寧府。與黃庭堅、歐陽修、呂惠卿、李之儀、孫侔等人交遊唱和。,79
3624,樓鑰,宋,樓鑰（1137-1213），宋人，鄞縣人，富豪、理學家、宰執。,樓鑰，宋人，籍貫鄞縣。生於1137年，卒於1213年。為富豪、理學家、宰執。一生主要活動於鄞縣。與史浩、蘇軾、樓异、黃庭堅、婁機等人交遊唱和。,71
7055,呂祖謙,宋,呂祖謙（1137-1181），宋人，金華人，地方士人/鄉紳、史學家、理學家。,呂祖謙，宋人，籍貫金華。生於1137年，卒於1181年。為地方士人/鄉紳、史學家、理學家。一生主要活動於金華、武義、紹興府、臨安府、衢州。與朱熹、周必大、潘景憲、真德秀、汪應辰等人交遊唱和。,95
10566,楊萬里,宋,楊萬里（1127-1206），宋人，吉水人，詩人、財政官員、思想家。,楊萬里，宋人，籍貫吉水。生於1127年，卒於1206年。為詩人、財政官員、思想家。一生主要活動於吉水。與周必大、朱熹、劉承弼、余端禮、王庭珪等人交遊唱和。,77
10258,真德秀,宋,真德秀（1178-1235），宋人，浦城人，理學家、宰執、思想家。,真德秀，宋人，籍貫浦城。生於1178年，卒於1235年。為理學家、宰執、思想家。一生主要活動於浦城。與劉克莊、朱熹、魏了翁、劉宰、呂祖謙等人交遊唱和。,75
10749,葉適,宋,葉適（1150-1223），宋人，永嘉人，孝子/孝女、經世學者、財政官員。,葉適，宋人，籍貫永嘉。生於1150年，卒於1223年。為孝子/孝女、經世學者、財政官員。一生主要活動於永嘉。與林鼒、朱熹、林鼐、包昂、夏庭簡等人交遊唱和。,77
3640,陸游,宋,陸游（1125-1209），宋人，山陰人，詩人、財政官員。,陸游，宋人，籍貫山陰。生於1125年，卒於1209年。為詩人、財政官員。一生主要活動於山陰。與蘇軾、曾幾、周必大、晁說之、范成大等人交遊唱和。,71
8008,秦檜,宋,秦檜（1090-1155），宋人，江寧人，酷吏、宰執。,秦檜，宋人，籍貫江寧。生於1090年，卒於1155年。為酷吏、宰執。一生主要活動於江寧。與林季仲、鄭剛中、范同、薛徽言、程宏濟等人交遊唱和。,70
