指標,數值
總人數,1000
一句話簡介平均字數,27.4
一段話小傳平均字數,68.3
生年覆蓋率,831/1000 (83.1%)
卒年覆蓋率,878/1000 (87.8%)
地名覆蓋率,996/1000 (99.6%)
交往對象覆蓋率,997/1000 (99.7%)
抽樣_1_personid,336
抽樣_1_name,章服
抽樣_1_one_liner,章服（1106-1173），宋人，永康人，為邑里所重、財政官員。
抽樣_1_bio,章服，宋人，籍貫永康。生於1106年，卒於1173年。為邑里所重、財政官員。一生主要活動於鹽官、永康。與朱夏卿、俞畢、戚方、劉祖禮等人交遊唱和。
抽樣_2_personid,1802
抽樣_2_name,王蕃
抽樣_2_one_liner,王蕃（0-0），宋人，歸安人，財政官員。
抽樣_2_bio,王蕃，宋人，籍貫歸安。生於0年，卒於0年。為財政官員。一生主要活動於歸安、益都、開封。與黃庭堅等人交遊唱和。
抽樣_3_personid,3136
抽樣_3_name,張枃
抽樣_3_one_liner,張枃（0-1197），宋人，衡陽人，財政官員。
抽樣_3_bio,張枃，宋人，籍貫衡陽。生於0年，卒於1197年。為財政官員。一生主要活動於漢州、衡陽。與朱熹、曹盅、真德秀、呂祖謙等人交遊唱和。
抽樣_4_personid,935
抽樣_4_name,顧臨
抽樣_4_one_liner,顧臨，宋人，餘姚人，小學家、小學家－訓詁學、校堪學家。
抽樣_4_bio,顧臨，宋人，籍貫餘姚。為小學家、小學家－訓詁學、校堪學家。一生主要活動於會稽、餘姚。與華鎮、蘇軾、孔武仲、孔文仲等人交遊唱和。
抽樣_5_personid,7076
抽樣_5_name,王安國
抽樣_5_one_liner,王安國（1028-1074），宋人，臨川人，為官者、思想家。
抽樣_5_bio,王安國，宋人，籍貫臨川。生於1028年，卒於1074年。為官者、思想家。一生主要活動於臨川。與蘇軾、釋贊元、施大任、晁補之、王安石等人交遊唱和。
抽樣_6_personid,10225
抽樣_6_name,張鎡
抽樣_6_one_liner,張鎡（?- 1207），宋人，吳縣人，畫家、為官者。
