c_personid,name,dynasty,A_pagerank,B_diversity,C_spatial,D_identity,E_citations,influence,rank
3257,朱熹,宋,1.0,1.0,0.0002,0.3846,1.0,0.7077,1
32540,李白,唐,0.2727,0.5617,1.0,0.8462,0.1259,0.54,2
3767,蘇軾,宋,0.4065,0.709,0.6285,0.4615,0.4241,0.5223,3
1762,王安石,宋,0.3696,0.6335,0.0018,0.6923,0.274,0.3829,4
10097,宋濂,明,0.4743,0.6412,0.0075,0.3846,0.2886,0.373,5
32227,白居易,唐,0.3131,0.4787,0.1666,0.7692,0.1637,0.3629,6
7111,黃庭堅,宋,0.3544,0.6574,0.0138,0.4615,0.325,0.3585,7
10084,吳澄,元,0.465,0.6182,0.0001,0.3077,0.2383,0.3451,8
7197,周必大,宋,0.4339,0.7007,0.0043,0.0,0.407,0.3322,9
3915,杜甫,唐,0.2558,0.4538,0.1654,0.6923,0.1103,0.321,10
1384,歐陽修,宋,0.3105,0.6586,0.0017,0.3077,0.3238,0.3199,11
3595,劉克莊,宋,0.4286,0.6744,0.0001,0.0,0.3506,0.3161,12
4001,魏了翁,宋,0.3697,0.6546,0.0068,0.1538,0.318,0.314,13
7055,呂祖謙,宋,0.3053,0.6052,0.0999,0.3077,0.2141,0.3109,14
3624,樓鑰,宋,0.3381,0.6248,0.0001,0.1538,0.261,0.2886,15
33860,呂柟,明,0.191,0.47,0.0001,0.6923,0.1391,0.276,16
1488,司馬光,宋,0.2048,0.5838,0.0001,0.4615,0.1795,0.2744,17
10566,楊萬里,宋,0.3103,0.6117,0.0001,0.1538,0.2235,0.272,18
10749,葉適,宋,0.2653,0.5904,0.0001,0.2308,0.1797,0.2593,19
34196,孫星衍,清,0.0201,0.5057,0.0001,1.0,0.0142,0.2593,20
7026,范祖禹,宋,0.344,0.4688,0.0077,0.2308,0.1411,0.2543,21
28617,王惲,元,0.3219,0.5074,0.0001,0.1538,0.2151,0.2534,22
35222,袁宏道,明,0.1466,0.5923,0.1661,0.1538,0.1917,0.2475,23
28143,柳貫,元,0.1528,0.5575,0.0001,0.4615,0.1193,0.2445,24
10801,虞集,元,0.2693,0.6014,0.0001,0.0769,0.2031,0.2431,25
28381,梁寅,明,0.047,0.5182,0.0001,0.7692,0.0382,0.2389,26
7364,曾鞏,宋,0.1771,0.5512,0.0001,0.3846,0.1063,0.237,27
34717,王世貞,明,0.1768,0.6135,0.0,0.1538,0.2299,0.2333,28
27950,張樞,元,0.0077,0.5038,0.0001,0.8462,0.01,0.2315,29
10258,真德秀,宋,0.2023,0.5923,0.0001,0.1538,0.1867,0.2302,30
3640,陸游,宋,0.2326,0.5872,0.0001,0.0769,0.1767,0.2253,31
10740,黃溍,元,0.27,0.5842,0.0043,0.0,0.1737,0.2248,32
65942,黃道周,明,0.0682,0.5233,0.0001,0.6154,0.047,0.2245,33
13,晁補之,宋,0.1344,0.4401,0.0,0.5385,0.0863,0.222,34
33879,毛奇齡,清,0.0613,0.5164,0.0,0.6154,0.0346,0.2192,35
28022,危素,明,0.1349,0.5372,0.0076,0.3846,0.0758,0.2185,36
10389,袁桷,元,0.1667,0.5652,0.0001,0.2308,0.1315,0.2174,37
66032,朱彝尊,清,0.078,0.5208,0.0001,0.5385,0.0466,0.2154,38
7164,張栻,宋,0.1636,0.5795,0.0067,0.1538,0.1607,0.2135,39
30359,辛棄疾,宋,0.0373,0.5113,0.0121,0.6154,0.0306,0.2128,40
30374,王守仁,明,0.1302,0.5775,0.0,0.2308,0.1571,0.2127,41
10706,王柏,宋,0.1001,0.548,0.0001,0.3846,0.1015,0.2126,42
27948,劉基,明,0.0412,0.5132,0.0001,0.6154,0.0282,0.2116,43
28691,李東陽,明,0.1648,0.5623,0.0134,0.1538,0.1295,0.2071,44
30607,徐渭,明,0.0538,0.5138,0.013,0.5385,0.0294,0.2067,45
34747,鄒元標,明,0.0861,0.5639,0.0,0.3077,0.1323,0.2046,46
30849,高攀龍,明,0.0572,0.5358,0.0001,0.4615,0.072,0.2044,47
3632,陸九淵,宋,0.139,0.5528,0.0001,0.2308,0.1075,0.203,48
19123,文天祥,宋,0.2047,0.5558,0.0,0.0769,0.1165,0.2016,49
3332,韓愈,唐,0.1041,0.5293,0.0372,0.3077,0.0638,0.2003,50
27727,方回,元,0.22,0.4844,0.0001,0.0769,0.1687,0.1997,51
30192,全祖望,清,0.0957,0.5255,0.0001,0.3846,0.053,0.1995,52
1649,蔡京,宋,0.1523,0.5573,0.0001,0.1538,0.1197,0.1982,53
12087,楊維禎,元,0.1339,0.5435,0.0007,0.2308,0.0899,0.1971,54
8043,范仲淹,宋,0.1418,0.5643,0.0437,0.0769,0.1365,0.1962,55
3294,方逢辰,宋,0.0281,0.5097,0.0001,0.5385,0.0278,0.1953,56
8008,秦檜,宋,0.1939,0.487,0.0001,0.0769,0.1805,0.1942,57
12236,徐鉉,南唐,0.1142,0.5247,0.0063,0.3077,0.0506,0.1942,58
3029,晁說之,宋,0.0889,0.4306,0.0062,0.4615,0.0652,0.193,59
3676,米芾,宋,0.0629,0.4255,0.0011,0.5385,0.0514,0.1927,60
30239,錢謙益,清,0.1147,0.5451,0.0,0.2308,0.0901,0.1916,61
34702,羅洪先,明,0.077,0.5433,0.0,0.3077,0.0891,0.1913,62
34742,顧憲成,明,0.0694,0.5459,0.0,0.3077,0.0999,0.1911,63
3888,鄒浩,宋,0.1233,0.537,0.0,0.2308,0.0766,0.1905,64
32248,元稹,唐,0.148,0.435,0.0062,0.3077,0.0738,0.1899,65
35220,袁黃,明,0.0149,0.5069,0.0,0.5385,0.019,0.1895,66
34252,顧炎武,清,0.0416,0.5107,0.0062,0.4615,0.0226,0.1885,67
3075,陳亮,宋,0.1331,0.5469,0.0001,0.1538,0.0973,0.187,68
1953,文彥博,宋,0.0565,0.5233,0.0001,0.3846,0.0514,0.187,69
11134,黃榦,宋,0.1018,0.5431,0.0001,0.2308,0.0867,0.1868,70
2022,楊時,宋,0.1028,0.5405,0.0001,0.2308,0.0871,0.1866,71
33880,毛先舒,清,0.0121,0.5036,0.0,0.5385,0.0094,0.1865,72
30248,傅山,清,0.0057,0.4014,0.0,0.6923,0.0034,0.1864,73
29570,陳獻章,明,0.0555,0.5237,0.0001,0.3846,0.0466,0.1861,74
10726,王褘,明,0.1039,0.5356,0.0076,0.2308,0.0748,0.1857,75
