name,cbdb_rank,cbdb_influence,in_textbook_top50,status
孔子,,,True,不在 CBDB 中
孟子,,,True,不在 CBDB 中
荀子,,,True,不在 CBDB 中
老子,,,True,不在 CBDB 中
莊子,,,True,不在 CBDB 中
孫子,404649.0,0.0,True,found
屈原,,,True,不在 CBDB 中
秦始皇,,,True,不在 CBDB 中
項羽,,,True,不在 CBDB 中
劉邦,17968.0,0.0212,True,found
張良,71516.0,0.0003,True,found
韓信,472763.0,0.0,True,found
司馬遷,16589.0,0.0221,True,found
諸葛亮,15378.0,0.0236,True,found
曹操,16647.0,0.022,True,found
關羽,219822.0,0.0,True,found
劉備,99994.0,0.0001,True,found
孫權,16683.0,0.0219,True,found
王羲之,18290.0,0.0211,True,found
陶淵明,,,True,不在 CBDB 中
李白,2.0,0.54,True,found
杜甫,10.0,0.321,True,found
白居易,6.0,0.3629,True,found
王維,78.0,0.1846,True,found
韓愈,50.0,0.2003,True,found
柳宗元,93.0,0.1758,True,found
蘇軾,3.0,0.5223,True,found
歐陽修,11.0,0.3199,True,found
王安石,4.0,0.3829,True,found
司馬光,17.0,0.2744,True,found
范仲淹,55.0,0.1962,True,found
辛棄疾,40.0,0.2128,True,found
陸游,31.0,0.2253,True,found
李清照,481.0,0.1159,True,found
岳飛,84.0,0.1808,True,found
文天祥,49.0,0.2016,True,found
鄭和,218683.0,0.0,True,found
王陽明,,,True,不在 CBDB 中
曹雪芹,,,True,不在 CBDB 中
吳承恩,1315.0,0.0854,True,found
陳勝,207447.0,0.0,True,found
吳廣,207944.0,0.0,True,found
蔡倫,223705.0,0.0,True,found
張衡,43499.0,0.0202,True,found
畢昇,289585.0,0.0,True,found
李時珍,14777.0,0.0317,True,found
徐霞客,,,True,不在 CBDB 中
林則徐,2509.0,0.0681,True,found
康有為,121.0,0.166,True,found
梁啟超,1275.0,0.0859,True,found
孫中山,,,True,不在 CBDB 中
魯迅,,,True,不在 CBDB 中
