作品编号	得分构型	作品类别
2022004762	222	人工智能应用
2022037724	222	数媒动漫与短片
2022036563	222	信息可视化设计
2022012759	222	数媒动漫与短片
2022008666	222	数媒静态设计
2022023839	221	人工智能应用
2022032429	221	数媒静态设计
2022044502	221	数媒动漫与短片
2022040832	221	数媒动漫与短片专业组
2022009627	221	微课与教学辅助
2022008646	221	微课与教学辅助
2022038734	221	数媒游戏与交互设计专业组
2022038733	221	数媒游戏与交互设计专业组
2022032396	221	微课与教学辅助
2022033535	221	数媒动漫与短片专业组
2022010256	211	人工智能应用
2022043803	211	微课与教学辅助
2022043818	220	微课与教学辅助
2022009807	211	物联网应用
2022042895	211	微课与教学辅助
2022022206	211	软件应用与开发
2022021374	211	数媒静态设计专业组
2022013148	211	软件应用与开发
2022002221	211	软件应用与开发
2022004205	211	人工智能应用
2022002450	211	物联网应用
2022043837	211	数媒动漫与短片
2022044685	211	软件应用与开发
2022033171	211	软件应用与开发
2022042859	211	微课与教学辅助
2022007435	211	微课与教学辅助
2022039962	220	软件应用与开发
2022011337	211	微课与教学辅助
2022033892	211	软件应用与开发
2022026446	211	软件应用与开发
2022024836	211	数媒动漫与短片专业组
2022007669	220	微课与教学辅助
2022036545	211	软件应用与开发
2022004833	211	人工智能应用
2022035468	211	微课与教学辅助
2022008933	220	数媒游戏与交互设计
2022006784	211	人工智能应用
2022004742	211	数媒动漫与短片
2022005182	211	微课与教学辅助
2022035133	220	数媒静态设计专业组
2022037540	211	数媒游戏与交互设计专业组
2022034793	211	信息可视化设计
2022041885	220	信息可视化设计
2022038331	211	数媒静态设计专业组
2022038044	211	数媒动漫与短片
2022038982	211	微课与教学辅助
2022005391	211	人工智能应用
2022033971	220	数媒动漫与短片
2022041206	211	数媒动漫与短片专业组
2022039883	210	信息可视化设计
2022005829	111	软件应用与开发
2022043739	111	数媒动漫与短片
2022002460	210	信息可视化设计
2022006231	210	软件应用与开发
2022043983	210	数媒静态设计专业组
2022043930	111	微课与教学辅助
2022041253	111	数媒动漫与短片
2022041494	210	大数据应用
2022005377	210	微课与教学辅助
2022044137	210	微课与教学辅助
2022038271	111	数媒动漫与短片
2022044212	111	微课与教学辅助
2022005295	111	软件应用与开发
2022006385	111	软件应用与开发
2022005317	210	信息可视化设计
2022045875	210	数媒动漫与短片
2022005264	111	微课与教学辅助
2022038060	210	数媒动漫与短片
2022043693	111	微课与教学辅助
2022037936	111	数媒静态设计专业组
2022037057	210	微课与教学辅助
2022037451	210	数媒动漫与短片
2022043596	210	微课与教学辅助
2022037563	111	数媒动漫与短片专业组
2022037493	111	数媒动漫与短片专业组
2022042735	210	信息可视化设计
2022004994	111	软件应用与开发
2022007333	210	信息可视化设计
2022042759	210	信息可视化设计
2022037427	210	数媒静态设计专业组
2022043595	111	微课与教学辅助
2022037379	210	数媒动漫与短片
2022042875	210	数媒动漫与短片专业组
2022040442	210	数媒动漫与短片专业组
2022042810	210	微课与教学辅助
2022010865	210	信息可视化设计
2022043462	210	微课与教学辅助
2022036797	210	信息可视化设计
2022010712	111	物联网应用
2022007482	111	数媒静态设计
2022036379	111	软件应用与开发
2022027325	210	信息可视化设计
2022012508	111	物联网应用
2022035745	111	软件应用与开发
2022035596	111	软件应用与开发
2022007673	210	物联网应用
2022011629	111	数媒静态设计
2022011541	210	信息可视化设计
2022034999	210	信息可视化设计
2022013031	210	微课与教学辅助
2022015610	111	数媒游戏与交互设计
2022013248	210	数媒静态设计专业组
2022016265	111	信息可视化设计
2022019934	210	软件应用与开发
2022014534	111	数媒动漫与短片
2022010097	210	信息可视化设计
2022020668	210	数媒动漫与短片专业组
2022020468	111	数媒静态设计专业组
2022009981	111	数媒静态设计
2022021822	210	信息可视化设计
2022009928	210	信息可视化设计
2022021682	111	物联网应用
2022023017	210	人工智能应用
2022027458	210	微课与教学辅助
2022023915	210	软件应用与开发
2022023637	210	大数据应用
2022032470	111	数媒游戏与交互设计专业组
2022030692	210	数媒游戏与交互设计专业组
2022009413	210	信息可视化设计
2022023021	210	微课与教学辅助
2022000207	111	信息可视化设计
2022024141	111	软件应用与开发
2022031019	111	微课与教学辅助
2022026457	111	数媒动漫与短片
2022030163	111	微课与教学辅助
2022026898	210	数媒动漫与短片专业组
2022028866	111	微课与教学辅助
2022024705	111	数媒游戏与交互设计专业组
2022029529	210	数媒动漫与短片
2022029550	210	软件应用与开发
2022009405	110	微课与教学辅助
2022009371	110	软件应用与开发
2022004897	200	软件应用与开发
2022004917	200	大数据应用
2022005262	110	信息可视化设计
2022005140	110	软件应用与开发
2022004309	110	人工智能应用
2022009059	110	微课与教学辅助
2022009020	110	信息可视化设计
2022005136	110	软件应用与开发
2022005114	110	软件应用与开发
2022008789	110	数媒游戏与交互设计
2022008847	110	信息可视化设计
2022004215	110	微课与教学辅助
2022000319	110	物联网应用
2022004187	110	数媒静态设计
2022001997	110	大数据应用
2022009949	110	软件应用与开发
2022008744	110	软件应用与开发
2022000451	110	软件应用与开发
2022005214	110	物联网应用
2022001183	110	大数据应用
2022005409	200	软件应用与开发
2022008446	110	物联网应用
2022005359	110	数媒游戏与交互设计专业组
2022008230	200	软件应用与开发
2022005651	200	软件应用与开发
2022010215	110	信息可视化设计
2022008418	110	微课与教学辅助
2022007958	110	软件应用与开发
2022005797	110	软件应用与开发
2022007113	200	物联网应用
2022006329	110	微课与教学辅助
2022007295	200	信息可视化设计
2022007383	110	软件应用与开发
2022000450	110	信息可视化设计
2022007287	110	软件应用与开发
2022010358	110	软件应用与开发
2022007642	110	人工智能应用
2022009180	110	微课与教学辅助
2022009224	110	信息可视化设计
2022010595	110	信息可视化设计
2022009266	200	人工智能应用
2022007442	110	软件应用与开发
2022007620	110	人工智能应用
2022010737	110	信息可视化设计
2022047827	110	大数据应用
2022000131	110	数媒游戏与交互设计专业组
2022025132	110	数媒静态设计
2022044402	110	微课与教学辅助
2022011260	110	数媒静态设计
2022044107	110	软件应用与开发
2022024789	110	软件应用与开发
2022024270	110	微课与教学辅助
2022011354	110	数媒动漫与短片
2022037399	110	软件应用与开发
2022037503	200	数媒静态设计
2022043980	200	信息可视化设计
2022026547	110	数媒动漫与短片
2022043836	110	微课与教学辅助
2022043882	110	信息可视化设计
2022043775	200	软件应用与开发
2022043956	110	微课与教学辅助
2022024214	200	数媒游戏与交互设计专业组
2022016118	110	数媒游戏与交互设计专业组
2022012262	110	数媒静态设计
2022043967	110	数媒静态设计专业组
2022027308	110	软件应用与开发
2022027922	110	软件应用与开发
2022028950	110	数媒动漫与短片
2022043233	110	微课与教学辅助
2022043293	110	微课与教学辅助
2022043170	110	数媒静态设计专业组
2022045268	200	微课与教学辅助
2022029720	110	软件应用与开发
2022044842	110	数媒静态设计专业组
2022043116	110	微课与教学辅助
2022012843	110	信息可视化设计
2022012780	110	软件应用与开发
2022043119	110	数媒动漫与短片专业组
